ITI_2	runS_506	noise_6500	fp_7395	noise_8375	tp_8989	noise_9976	cue_10794	res_11921
ITI_238695	runS_239617	noise_245636	fp_246242	noise_247236	tp_248220	noise_249214	cue_250030	res_251538
ITI_252247	runS_253226	noise_259235	fp_259954	noise_260959	tp_261880	noise_262875	cue_263800	res_265080
ITI_265647	runS_266584	noise_272598	fp_273118	noise_274114	tp_274645	noise_275638	cue_276380	res_277666
ITI_278215	runS_278848	noise_284859	fpc_285406	noise_286396	tpc_287209	noise_288195	cue_288922	res_289980
ITI_290950	runS_291666	noise_297676	fpc_298588	noise_299574	tpc_300399	noise_301398	cue_302013	res_303322
ITI_304100	runS_305042	noise_311057	fp_311561	noise_312555	tpc_313238	noise_314236	cue_314916	res_315986
ITI_316556	runS_317210	head_photo_323213	resh_324839	NA	NA	NA	NA	NA
ITI_325402	runS_326053	noise_332054	fp_332858	noise_333852	tpc_334516	noise_335514	cue_336369	res_337893
ITI_338742	runS_339396	head_photo_345396	resh_346656	NA	NA	NA	NA	NA
ITI_347558	runS_348391	noise_354396	fpc_355327	noise_356317	tpc_357120	noise_358116	cue_358928	res_359938
ITI_360697	runS_361470	noise_367475	fp_368441	noise_369435	tp_370073	noise_371075	cue_371592	res_373306
ITI_374277	runS_374932	noise_380933	fp_381775	noise_382780	tpc_383567	noise_384556	cue_385150	res_386192
ITI_386921	runS_387638	head_photo_393659	resh_394874	NA	NA	NA	NA	NA
ITI_395483	runS_396474	noise_402472	fp_403283	noise_404278	tp_404825	noise_405817	cue_406795	res_408070
ITI_409025	runS_409832	noise_415835	fp_416591	noise_417593	tp_418297	noise_419298	cue_420238	res_421504
ITI_422307	runS_422998	noise_429016	fpc_429655	noise_430656	tpc_431275	noise_432276	cue_432997	res_434324
ITI_435029	runS_435850	noise_441859	fp_442729	noise_443714	tp_444377	noise_445379	cue_445942	res_447258
ITI_447767	runS_448504	noise_454516	fp_455233	noise_456235	tp_456818	noise_457811	cue_458409	res_459553
ITI_460304	runS_461013	noise_467019	fpc_467981	noise_468974	tpc_469851	noise_470852	cue_471717	res_472846
ITI_473662	runS_474187	head_photo_480192	resh_481203	NA	NA	NA	NA	NA
ITI_482136	runS_483001	head_photo_489012	resh_490209	NA	NA	NA	NA	NA
ITI_491117	runS_491833	noise_497834	fp_498602	noise_499596	tp_500372	noise_501373	cue_502039	res_503483
ITI_504002	runS_504730	noise_510739	fp_511263	noise_512256	tpc_513158	noise_514156	cue_514984	res_516055
ITI_516773	runS_517747	noise_523752	fp_524728	noise_525717	tp_526409	noise_527392	cue_527966	res_529331
ITI_530171	runS_530927	noise_536939	fpc_537810	noise_538792	tpc_539421	noise_540418	cue_541226	res_542528
ITI_543372	runS_544134	noise_550136	fp_551035	noise_552037	tp_552592	noise_553592	cue_554150	res_555191
ITI_556142	runS_556833	noise_562835	fp_563801	noise_564793	tp_565374	noise_566371	cue_567048	res_568179
ITI_568860	runS_569394	noise_575391	fp_576273	noise_577279	tpc_577907	noise_578894	cue_579666	res_580639
ITI_581272	runS_582092	noise_588093	fp_589060	noise_590053	tp_590615	noise_591616	cue_592602	res_593636
ITI_594297	runS_594944	head_photo_600953	resh_601842	NA	NA	NA	NA	NA
ITI_602438	runS_603245	noise_609255	fp_610114	noise_611112	tpc_611760	noise_612760	cue_613374	res_614302
ITI_614922	runS_615537	noise_621558	fp_622400	noise_623398	tp_624325	noise_625317	cue_626200	res_627380
ITI_628222	runS_628735	head_photo_634739	resh_636149	NA	NA	NA	NA	NA
ITI_636849	runS_637635	noise_643635	fp_644366	noise_645355	tp_646246	noise_647236	cue_647944	res_649053
ITI_649932	runS_650751	noise_656756	fp_657681	noise_658679	tpc_659298	noise_660293	cue_661260	res_662991
