ITI_2	runS_506	noise_6500	fp_7395	noise_8375	tp_8989	noise_9976	cue_10794	res_11921
ITI_12799	runS_13701	noise_19719	fp_20474	noise_21473	tpc_22093	noise_23097	cue_23924	res_25148
ITI_25931	runS_26876	noise_32880	fp_33706	noise_34694	tp_35231	noise_36233	cue_37107	res_38318
ITI_39268	runS_40204	noise_46214	fpc_46865	noise_47859	tpc_48558	noise_49551	cue_50249	res_51426
ITI_52175	runS_52983	noise_58998	fp_59687	noise_60673	tp_61337	noise_62339	cue_62837	res_64219
ITI_64881	runS_65763	noise_71771	fp_72720	noise_73717	tp_74253	noise_75257	cue_75757	res_77039
ITI_77899	runS_78662	noise_84672	fpc_85515	noise_86519	tpc_87035	noise_88034	cue_88654	res_89668
ITI_90385	runS_91130	noise_97139	fp_97991	noise_98991	tp_99928	noise_100918	cue_101538	res_103243
ITI_103744	runS_104264	head_photo_110280	resh_111720	NA	NA	NA	NA	NA
ITI_112341	runS_113278	noise_119293	fp_119926	noise_120916	tp_121609	noise_122591	cue_123233	res_124431
ITI_125075	runS_125868	noise_131876	fp_132836	noise_133839	tp_134382	noise_135377	cue_136102	res_137526
ITI_138227	runS_139089	noise_145099	fp_145676	noise_146680	tp_147498	noise_148491	cue_149367	res_150546
ITI_151060	runS_152011	noise_158017	fpc_158921	noise_159921	tpc_160530	noise_161516	cue_162147	res_163156
ITI_163838	runS_164565	noise_170576	fp_171470	noise_172459	tp_173314	noise_174312	cue_175236	res_177188
ITI_178013	runS_178916	noise_184918	fp_185579	noise_186580	tp_187548	noise_188537	cue_189288	res_190629
ITI_191421	runS_192297	noise_198317	fp_199121	noise_200115	tpc_200829	noise_201817	cue_202419	res_203415
ITI_204259	runS_204819	head_photo_210836	resh_212396	NA	NA	NA	NA	NA
ITI_213008	runS_213932	noise_219938	fp_220703	noise_221693	tp_222240	noise_223240	cue_223974	res_225275
ITI_226141	runS_226758	noise_232772	fp_233388	noise_234377	tp_235212	noise_236217	cue_236896	res_238062
