ITI_2	runS_834	noise_6831	fp_7379	noise_8374	tpc_9219	noise_10209	cue_10871	res_11656
ITI_12557	runS_13398	noise_19410	fp_19943	noise_20935	tp_21728	noise_22709	cue_23578	res_24623
ITI_25582	runS_26507	noise_32511	fp_33376	noise_34369	tpc_35309	noise_36316	cue_36946	res_38075
ITI_38960	runS_39908	noise_45913	fpc_46758	noise_47752	tpc_48616	noise_49614	cue_50215	res_51123
ITI_51783	runS_52556	noise_58569	fp_59399	noise_60389	tp_61281	noise_62277	cue_62972	res_64241
ITI_65074	runS_65902	noise_71908	fpc_72896	noise_73889	tpc_74748	noise_75756	cue_76464	res_77521
ITI_78361	runS_78907	noise_84916	fpc_85653	noise_86649	tpc_87172	noise_88168	cue_88789	res_89651
ITI_90184	runS_90948	noise_96953	fp_97912	noise_98912	tp_99776	noise_100775	cue_101342	res_102843
ITI_103535	runS_104308	head_photo_110313	resh_113064	NA	NA	NA	NA	NA
ITI_114014	runS_114739	noise_120756	fpc_121536	noise_122537	tpc_123451	noise_124452	cue_125181	res_126130
ITI_126926	runS_127676	noise_133695	fp_134474	noise_135473	tp_136000	noise_136992	cue_137726	res_138974
ITI_139543	runS_140506	noise_146514	fp_147443	noise_148433	tp_149209	noise_150212	cue_150797	res_151971
ITI_152641	runS_153614	noise_159636	fp_160146	noise_161135	tpc_161984	noise_162970	cue_163617	res_164494
ITI_165276	runS_165859	noise_171873	fp_172495	noise_173489	tp_174473	noise_175472	cue_176403	res_180338
ITI_181036	runS_181617	noise_187635	fp_188304	noise_189290	tp_190275	noise_191268	cue_192096	res_193254
ITI_194216	runS_194981	head_photo_200997	resh_202306	NA	NA	NA	NA	NA
ITI_202819	runS_203459	noise_209467	fpc_210195	noise_211190	tpc_211988	noise_212994	cue_213721	res_214601
ITI_215241	runS_215822	noise_221828	fp_222603	noise_223592	tpc_224585	noise_225575	cue_226094	res_226766
ITI_227399	runS_228126	noise_234137	fp_234826	noise_235812	tp_236535	noise_237535	cue_238420	res_239581
ITI_240487	runS_241332	noise_247329	fp_248203	noise_249194	tp_250053	noise_251050	cue_251734	res_252498
ITI_253129	runS_253792	noise_259794	fp_260375	noise_261370	tp_262065	noise_263053	cue_263656	res_265386
ITI_266106	runS_267026	head_photo_273037	resh_274997	NA	NA	NA	NA	NA
ITI_275802	runS_276409	noise_282413	fp_282966	noise_283952	tp_284914	noise_285915	cue_286807	res_290347
ITI_291120	runS_291839	noise_297856	fpc_298600	noise_299589	tpc_300246	noise_301238	cue_301973	res_303165
ITI_304135	runS_304752	noise_310751	fp_311666	noise_312653	tp_313422	noise_314414	cue_315231	res_315999
ITI_316613	runS_317157	noise_323175	fp_323756	noise_324755	tp_325615	noise_326614	cue_327226	res_328226
ITI_328920	runS_329709	noise_335715	fp_336659	noise_337653	tpc_338309	noise_339315	cue_339864	res_340803
ITI_341410	runS_342236	noise_348253	fp_348931	noise_349932	tp_350614	noise_351614	cue_352593	res_353500
ITI_354291	runS_355149	noise_361150	fp_361802	noise_362788	tp_363651	noise_364653	cue_365312	res_366494
ITI_367485	runS_368370	noise_374370	fp_375282	noise_376275	tpc_376996	noise_377994	cue_378560	res_380188
ITI_380858	runS_381834	noise_387847	fp_388794	noise_389794	tp_390738	noise_391727	cue_392326	res_393801
ITI_394752	runS_395497	head_photo_401511	resh_404293	NA	NA	NA	NA	NA
ITI_404899	runS_405676	noise_411691	fp_412273	noise_413274	tpc_413884	noise_414874	cue_415599	res_416452
ITI_417079	runS_417954	noise_423969	fp_424648	noise_425650	tp_426389	noise_427394	cue_428126	res_429167
ITI_429765	runS_430266	noise_436271	fp_436959	noise_437954	tp_438705	noise_439689	cue_440553	res_442772
ITI_443507	runS_444403	noise_450414	fp_451374	noise_452374	tp_452991	noise_453994	cue_454707	res_456069
ITI_456682	runS_457238	noise_463255	fp_464124	noise_465113	tpc_465789	noise_466791	cue_467395	res_468175
ITI_469158	runS_469731	noise_475735	fp_476713	noise_477712	tpc_478599	noise_479595	cue_480365	res_481496
ITI_482063	runS_483035	noise_489051	fp_489849	noise_490855	tp_491657	noise_492648	cue_493584	res_496169
ITI_497155	runS_497940	noise_503955	fp_504515	noise_505514	tp_506206	noise_507196	cue_507930	res_508874
ITI_509611	runS_510274	noise_516293	fpc_517147	noise_518132	tpc_519015	noise_520008	cue_520508	res_522487
ITI_523467	runS_524360	head_photo_530369	resh_531902	NA	NA	NA	NA	NA
ITI_532512	runS_533471	noise_539471	fp_540389	noise_541389	tp_542222	noise_543214	cue_543810	res_545371
ITI_545884	runS_546455	noise_552472	fpc_553132	noise_554130	tpc_554722	noise_555711	cue_556422	res_558173
ITI_558724	runS_559699	noise_565708	fp_566356	noise_567353	tp_568012	noise_569010	cue_569901	res_572781
ITI_573296	runS_574279	noise_580295	fpc_581289	noise_582297	tpc_583252	noise_584253	cue_585053	res_585984
ITI_586538	runS_587044	head_photo_593055	resh_594668	NA	NA	NA	NA	NA
ITI_595666	runS_596318	noise_602329	fp_603008	noise_604011	tp_604902	noise_605893	cue_606628	res_609157
ITI_609877	runS_610392	head_photo_616390	resh_619497	NA	NA	NA	NA	NA
ITI_619990	runS_620540	head_photo_626553	resh_629026	NA	NA	NA	NA	NA
ITI_629612	runS_630600	noise_636612	fp_637192	noise_638194	tp_638736	noise_639729	cue_640391	res_641368
ITI_642294	runS_642960	head_photo_648973	resh_650972	NA	NA	NA	NA	NA
ITI_651574	runS_652156	noise_658170	fp_659107	noise_660110	tp_660718	noise_661713	cue_662615	res_663733
ITI_664411	runS_665002	noise_671008	fp_672005	noise_672994	tp_673567	noise_674556	cue_675263	res_677555
