ITI_2	runS_504	noise_6493	fpc_7344	noise_8330	tpc_8913	noise_9911	cue_10564	res_12931
ITI_13451	runS_14399	noise_20408	fp_21261	noise_22250	tpc_22902	noise_23890	cue_24444	res_26702
ITI_27672	runS_28513	head_photo_34534	resh_35699	NA	NA	NA	NA	NA
ITI_36453	runS_37106	noise_43111	fp_43825	noise_44829	tpc_45410	noise_46407	cue_46998	res_48089
ITI_48909	runS_49626	noise_55632	fpc_56293	noise_57293	tpc_57953	noise_58951	cue_59516	res_60282
ITI_61205	runS_62088	noise_68084	fp_68925	noise_69930	tpc_70836	noise_71824	cue_72615	res_73627
ITI_74624	runS_75525	noise_81534	fp_82079	noise_83066	tp_83776	noise_84765	cue_85520	res_86261
ITI_87134	runS_87660	noise_93669	fp_94397	noise_95386	tp_95939	noise_96927	cue_97845	res_98516
ITI_99270	runS_99914	noise_105927	fp_106598	noise_107591	tpc_108397	noise_109386	cue_109926	res_111033
ITI_111910	runS_112673	noise_118692	fpc_119456	noise_120452	tpc_121142	noise_122126	cue_123119	res_123755
ITI_124686	runS_125449	noise_131453	fpc_132056	noise_133047	tpc_133578	noise_134570	cue_135225	res_136551
ITI_137463	runS_138023	head_photo_144029	resh_145461	NA	NA	NA	NA	NA
ITI_146238	runS_147128	noise_153127	fp_153777	noise_154766	tpc_155565	noise_156566	cue_157367	res_158631
ITI_159632	runS_160259	noise_166265	fp_167249	noise_168246	tp_168939	noise_169925	cue_170734	res_171559
ITI_172541	runS_173157	noise_179165	fpc_180089	noise_181092	tpc_181954	noise_182954	cue_183694	res_184317
ITI_184834	runS_185364	noise_191372	fp_192106	noise_193106	tp_193896	noise_194887	cue_195514	res_196306
ITI_196954	runS_197793	noise_203806	fp_204733	noise_205727	tp_206280	noise_207266	cue_207989	res_210195
ITI_210817	runS_211638	head_photo_217648	resh_218757	NA	NA	NA	NA	NA
ITI_219595	runS_220584	noise_226589	fp_227298	noise_228289	tpc_229214	noise_230211	cue_231011	res_231880
ITI_232784	runS_233357	noise_239366	fp_240238	noise_241230	tp_242070	noise_243064	cue_243655	res_245699
ITI_246465	runS_247390	noise_253392	fp_254114	noise_255111	tp_255680	noise_256672	cue_257321	res_258069
ITI_258852	runS_259450	noise_265466	fp_266247	noise_267253	tp_268186	noise_269192	cue_269708	res_271108
ITI_271626	runS_272353	noise_278371	fp_279078	noise_280065	tp_280835	noise_281827	cue_282691	res_283610
ITI_284159	runS_284733	noise_290745	fp_291502	noise_292487	tp_293188	noise_294187	cue_295001	res_295853
ITI_296845	runS_297569	noise_303567	fp_304247	noise_305244	tp_305780	noise_306768	cue_307695	res_308818
ITI_309460	runS_310261	noise_316271	fpc_316866	noise_317872	tpc_318669	noise_319674	cue_320279	res_321499
ITI_322357	runS_323178	noise_329185	fp_329813	noise_330808	tp_331574	noise_332565	cue_333355	res_334196
ITI_334763	runS_335610	noise_341612	fp_342210	noise_343207	tp_344076	noise_345067	cue_345736	res_347292
ITI_347983	runS_348942	noise_354953	fp_355743	noise_356725	tp_357334	noise_358325	cue_358955	res_361515
ITI_362163	runS_362779	noise_368785	fp_369532	noise_370527	tp_371159	noise_372148	cue_373064	res_374416
ITI_375290	runS_376183	noise_382194	fp_383013	noise_384008	tp_384656	noise_385649	cue_386340	res_387203
ITI_387999	runS_388936	noise_394944	fp_395637	noise_396630	tpc_397330	noise_398331	cue_399223	res_400000
ITI_400654	runS_401262	noise_407272	fp_408251	noise_409252	tp_409776	noise_410764	cue_411685	res_412444
ITI_413372	runS_413898	head_photo_419909	resh_421266	NA	NA	NA	NA	NA
ITI_422133	runS_422740	noise_428746	fp_429332	noise_430327	tp_431274	noise_432270	cue_432825	res_433801
ITI_434390	runS_434935	noise_440947	fp_441802	noise_442792	tp_443389	noise_444388	cue_445118	res_446419
ITI_447184	runS_447708	noise_453710	fp_454685	noise_455691	tp_456440	noise_457428	cue_458112	res_459472
ITI_460272	runS_461136	head_photo_467146	resh_468949	NA	NA	NA	NA	NA
ITI_469928	runS_470615	noise_476632	fp_477367	noise_478372	tp_479294	noise_480292	cue_481096	res_482286
ITI_483103	runS_483821	noise_489824	fp_490636	noise_491627	tp_492513	noise_493509	cue_494215	res_495393
ITI_496139	runS_496866	noise_502867	fpc_503687	noise_504692	tpc_505347	noise_506351	cue_507217	res_507884
ITI_508811	runS_509421	noise_515426	fpc_516405	noise_517410	tpc_518400	noise_519389	cue_520214	res_521359
ITI_522014	runS_522922	head_photo_528924	resh_530566	NA	NA	NA	NA	NA
ITI_531554	runS_532464	noise_538470	fp_539373	noise_540367	tp_541313	noise_542305	cue_543085	res_544696
ITI_545610	runS_546119	noise_552132	fp_552633	noise_553628	tpc_554248	noise_555247	cue_556226	res_557033
ITI_557530	runS_558047	noise_564045	fp_564848	noise_565846	tp_566828	noise_567827	cue_568384	res_569188
