ITI_2	runS_716	noise_6709	fpc_7515	noise_8505	tpc_9269	noise_10266	cue_11108	res_12513
ITI_13234	runS_13867	head_photo_19867	resh_21086	NA	NA	NA	NA	NA
ITI_21995	runS_22500	noise_28505	fp_29398	noise_30387	tp_30916	noise_31905	cue_32826	res_33888
ITI_34819	runS_35746	noise_41748	fp_42700	noise_43687	tp_44332	noise_45323	cue_45888	res_48539
ITI_49409	runS_50410	noise_56424	fp_57380	noise_58366	tp_59267	noise_60269	cue_61106	res_62440
ITI_63163	runS_63971	noise_69989	fp_70618	noise_71606	tpc_72271	noise_73265	cue_74189	res_75264
ITI_76267	runS_77024	noise_83026	fp_83628	noise_84628	tpc_85147	noise_86145	cue_86806	res_87755
ITI_88736	runS_89575	head_photo_95589	resh_97967	NA	NA	NA	NA	NA
ITI_98681	runS_99241	head_photo_105244	resh_106350	NA	NA	NA	NA	NA
ITI_106927	runS_107791	noise_113805	fpc_114651	noise_115652	tpc_116378	noise_117365	cue_117948	res_119019
ITI_119768	runS_120750	noise_126765	fp_127528	noise_128523	tp_129223	noise_130225	cue_130967	res_132709
ITI_133603	runS_134374	noise_140391	fp_141174	noise_142164	tp_142920	noise_143907	cue_144891	res_145936
ITI_146885	runS_147594	noise_153610	fp_154246	noise_155244	tp_156239	noise_157225	cue_157902	res_158925
ITI_159712	runS_160402	noise_166409	fp_167288	noise_168287	tp_169005	noise_170002	cue_170657	res_174121
ITI_175077	runS_175658	noise_181670	fp_182632	noise_183626	tp_184514	noise_185505	cue_186395	res_187613
ITI_188406	runS_189186	noise_195185	fp_196096	noise_197086	tp_197618	noise_198610	cue_199350	res_201674
ITI_202426	runS_203392	noise_209409	fp_210311	noise_211307	tpc_212148	noise_213146	cue_213721	res_214711
ITI_215355	runS_216191	noise_222205	fpc_222814	noise_223807	tpc_224623	noise_225626	cue_226558	res_227478
ITI_228351	runS_229150	noise_235170	fp_235714	noise_236705	tp_237557	noise_238546	cue_239060	res_240477
ITI_241099	runS_241800	noise_247809	fp_248440	noise_249427	tp_250324	noise_251329	cue_252082	res_252963
ITI_253691	runS_254488	noise_260485	fp_261096	noise_262089	tpc_262753	noise_263751	cue_264653	res_265468
ITI_266233	runS_267106	noise_273107	fp_274101	noise_275091	tp_275843	noise_276847	cue_277602	res_279759
ITI_280517	runS_281209	noise_287226	fp_287737	noise_288729	tp_289269	noise_290267	cue_291194	res_293659
ITI_294516	runS_295186	noise_301187	fp_301806	noise_302806	tp_303654	noise_304641	cue_305577	res_308830
ITI_309701	runS_310502	noise_316506	fp_317294	noise_318286	tp_319272	noise_320264	cue_321064	res_324054
ITI_324646	runS_325170	head_photo_331185	resh_332405	NA	NA	NA	NA	NA
ITI_333139	runS_334000	noise_340008	fp_340728	noise_341722	tpc_342704	noise_343702	cue_344706	res_345936
ITI_346670	runS_347296	noise_353302	fp_354194	noise_355187	tp_355737	noise_356727	cue_357468	res_358471
ITI_359036	runS_360000	noise_366004	fpc_366986	noise_367988	tpc_368797	noise_369783	cue_370396	res_371569
ITI_372553	runS_373064	noise_379067	fp_379581	noise_380566	tp_381168	noise_382170	cue_383040	res_383934
ITI_384798	runS_385763	noise_391770	fpc_392311	noise_393310	tpc_394139	noise_395129	cue_395818	res_396649
ITI_397572	runS_398529	noise_404542	fp_405316	noise_406304	tp_406811	noise_407806	cue_408765	res_411029
ITI_411677	runS_412211	noise_418227	fpc_419061	noise_420045	tpc_420599	noise_421583	cue_422120	res_423084
ITI_423972	runS_424617	noise_430624	fp_431303	noise_432303	tpc_433172	noise_434170	cue_434893	res_435930
ITI_436433	runS_436979	noise_442984	fp_443594	noise_444589	tp_445378	noise_446362	cue_447226	res_449257
ITI_449810	runS_450371	head_photo_456390	resh_458029	NA	NA	NA	NA	NA
ITI_458924	runS_459432	head_photo_465449	resh_467226	NA	NA	NA	NA	NA
ITI_467897	runS_468784	noise_474787	fp_475490	noise_476488	tp_477301	noise_478290	cue_478994	res_480808
ITI_481785	runS_482585	noise_488585	fp_489547	noise_490549	tp_491067	noise_492071	cue_493020	res_494304
ITI_494930	runS_495639	head_photo_501650	resh_504317	NA	NA	NA	NA	NA
ITI_504959	runS_505490	noise_511507	fp_512292	noise_513289	tp_513787	noise_514781	cue_515337	res_516202
ITI_516780	runS_517415	head_photo_523431	resh_524618	NA	NA	NA	NA	NA
ITI_525462	runS_526399	noise_532404	fpc_533105	noise_534106	tpc_534618	noise_535604	cue_536377	res_537217
ITI_538057	runS_538742	noise_544746	fpc_545581	noise_546563	tpc_547175	noise_548171	cue_548740	res_549690
ITI_550673	runS_551662	noise_557664	fp_558245	noise_559245	tp_559911	noise_560904	cue_561431	res_562238
ITI_563087	runS_564081	noise_570082	fpc_570912	noise_571903	tpc_572573	noise_573566	cue_574330	res_575456
ITI_575974	runS_576709	noise_582726	fp_583540	noise_584528	tp_585361	noise_586345	cue_587089	res_588074
ITI_588678	runS_589222	noise_595227	fp_595828	noise_596829	tpc_597435	noise_598425	cue_599225	res_600009
ITI_600653	runS_601453	noise_607462	fp_608152	noise_609145	tpc_609760	noise_610746	cue_611281	res_612339
ITI_613262	runS_614061	noise_620067	fp_620589	noise_621582	tp_622163	noise_623165	cue_624158	res_625237
ITI_625938	runS_626917	noise_632923	fp_633706	noise_634707	tp_635286	noise_636287	cue_636980	res_638116
ITI_639000	runS_639895	noise_645910	fp_646580	noise_647570	tpc_648523	noise_649529	cue_650172	res_651249
ITI_652210	runS_652811	noise_658826	fp_659506	noise_660511	tp_661027	noise_662025	cue_662684	res_663655
ITI_664169	runS_664933	head_photo_670944	resh_672582	NA	NA	NA	NA	NA
