ITI_1	runS_652	noise_6676	fp_7559	noise_8550	tp_9071	noise_10067	cue_10601	res_11778
ITI_12538	runS_13194	noise_19212	fp_19781	noise_20771	tp_21504	noise_22509	cue_23292	res_24091
ITI_24867	runS_25459	noise_31472	fp_32281	noise_33272	tpc_34089	noise_35087	cuec35933	resc_36936
ITI_37721	runS_38557	noise_44565	fp_45413	noise_46416	tp_47310	noise_48308	cue_48841	res_49777
ITI_50660	runS_51279	noise_57291	fp_57926	noise_58934	tp_59754	noise_60747	cue_61725	res_62426
ITI_63386	runS_64215	noise_70223	fpc_70744	noise_71752	tpc_72508	noise_73512	cuec74484	resc_75375
ITI_76108	runS_76824	noise_82830	fp_83333	noise_84329	tp_85024	noise_86030	cue_86679	res_87853
ITI_88741	runS_89367	noise_95371	fp_96128	noise_97129	tp_98122	noise_99104	cue_99621	res_100482
ITI_101178	runS_102046	head_photo_108051	resh_109275	NA	NA	NA	NA	NA
ITI_109291	runS_109881	noise_115887	fpc_116620	noise_117610	tpc_118539	noise_119532	cuec120197	resc_121055
ITI_121859	runS_122840	noise_128846	fp_129370	noise_130367	tpc_131167	noise_132167	cuec132829	resc_133941
ITI_134482	runS_135228	noise_141227	fp_141833	noise_142825	tp_143667	noise_144667	cue_145614	res_148504
ITI_149130	runS_150122	noise_156137	fpc_156674	noise_157670	tpc_158271	noise_159270	cuec159806	resc_160513
ITI_161145	runS_161708	head_photo_167709	resh_169257	NA	NA	NA	NA	NA
ITI_169267	runS_170187	head_photo_176188	resh_176866	NA	NA	NA	NA	NA
ITI_176875	runS_177448	noise_183449	fpc_184108	noise_185105	tpc_185628	noise_186629	cuec187473	resc_188325
ITI_188956	runS_189742	head_photo_195746	resh_196896	NA	NA	NA	NA	NA
ITI_196906	runS_197569	noise_203564	fp_204097	noise_205086	tpc_206017	noise_207012	cuec207963	resc_208835
ITI_209459	runS_210316	noise_216330	fp_217281	noise_218269	tp_218994	noise_219988	cue_220961	res_221921
ITI_222819	runS_223346	head_photo_229347	resh_230308	NA	NA	NA	NA	NA
ITI_230318	runS_231156	noise_237169	fp_238157	noise_239145	tp_239783	noise_240766	cue_241697	res_242580
ITI_243419	runS_244109	noise_250106	fp_251038	noise_252030	tp_252761	noise_253745	cue_254695	res_256612
ITI_257237	runS_257863	noise_263866	fp_264722	noise_265710	tpc_266493	noise_267490	cuec267992	resc_268864
ITI_269676	runS_270185	head_photo_276191	resh_277238	NA	NA	NA	NA	NA
ITI_277249	runS_277930	noise_283956	fp_284725	noise_285727	tp_286580	noise_287572	cue_288196	res_289013
ITI_289562	runS_290244	noise_296250	fp_296858	noise_297856	tp_298619	noise_299612	cue_300166	res_301436
ITI_302337	runS_303042	head_photo_309052	resh_310081	NA	NA	NA	NA	NA
ITI_310092	runS_310657	noise_316665	fp_317458	noise_318449	tp_319114	noise_320105	cue_320959	res_322172
ITI_322834	runS_323333	noise_329350	fpc_330234	noise_331233	tpc_332010	noise_333005	cuec333996	resc_335146
ITI_336088	runS_336993	noise_343009	fpc_343628	noise_344627	tpc_345553	noise_346548	cuec347508	resc_348504
ITI_349148	runS_349798	noise_355816	fpc_356496	noise_357496	tpc_358043	noise_359026	cuec359908	resc_360886
ITI_361471	runS_362090	noise_368114	fp_368877	noise_369871	tp_370670	noise_371665	cue_372515	res_373267
ITI_373994	runS_374776	noise_380791	fp_381701	noise_382691	tpc_383335	noise_384330	cuec384950	resc_385904
ITI_386506	runS_387399	noise_393412	fp_394118	noise_395112	tpc_395739	noise_396729	cuec397528	resc_398398
ITI_398917	runS_399619	noise_405634	fp_406475	noise_407470	tp_408182	noise_409164	cue_409674	res_411776
ITI_412707	runS_413687	noise_419693	fp_420417	noise_421411	tp_422057	noise_423048	cue_423639	res_424984
ITI_425886	runS_426787	noise_432785	fpc_433370	noise_434368	tpc_435131	noise_436130	cuec436727	resc_437410
ITI_438149	runS_439020	noise_445029	fp_445795	noise_446797	tp_447587	noise_448587	cue_449299	res_450227
ITI_450791	runS_451693	head_photo_457713	resh_458653	NA	NA	NA	NA	NA
ITI_458663	runS_459261	noise_465271	fp_466094	noise_467096	tp_467888	noise_468886	cue_469545	res_473025
ITI_473908	runS_474881	noise_480892	fp_481541	noise_482530	tp_483074	noise_484069	cue_484824	res_485866
ITI_486712	runS_487561	noise_493573	fp_494269	noise_495267	tp_495779	noise_496771	cue_497763	res_498452
ITI_499355	runS_499891	noise_505910	fpc_506454	noise_507444	tpc_508358	noise_509345	cuec509968	resc_510980
ITI_511902	runS_512861	noise_518866	fp_519863	noise_520853	tp_521570	noise_522572	cue_523147	res_525432
ITI_526234	runS_527183	noise_533191	fp_533726	noise_534730	tpc_535688	noise_536689	cuec537218	resc_538120
ITI_538633	runS_539419	noise_545429	fp_546235	noise_547224	tp_548211	noise_549207	cue_550065	res_550871
ITI_551674	runS_552210	noise_558228	fp_559054	noise_560048	tp_560782	noise_561765	cue_562277	res_563862
ITI_564556	runS_565518	head_photo_571524	resh_572793	NA	NA	NA	NA	NA
ITI_572809	runS_573497	noise_579505	fp_580262	noise_581250	tp_582241	noise_583230	cue_583741	res_585097
ITI_585721	runS_586666	noise_592669	fp_593579	noise_594567	tp_595410	noise_596410	cue_597310	res_598498
ITI_599359	runS_600082	noise_606085	fp_606900	noise_607895	tp_608479	noise_609469	cue_610332	res_613448
ITI_614335	runS_614889	noise_620887	fp_621692	noise_622694	tp_623589	noise_624588	cue_625284	res_628166
ITI_628735	runS_629672	noise_635687	fp_636651	noise_637651	tpc_638622	noise_639608	cuec640156	resc_641063
ITI_641724	runS_642698	noise_648709	fp_649376	noise_650368	tpc_651171	noise_652167	cuec653002	resc_654115
