ITI_7	runS_499	noise_6478	fp_7321	noise_8319	tp_9051	noise_10040	cue_10623	res_16074
ITI_16730	runS_17372	noise_23382	fp_24230	noise_25239	tp_25949	noise_26936	cue_27561	res_30639
ITI_31430	runS_31978	noise_37996	fp_38849	noise_39837	tp_40806	noise_41796	cue_42479	res_47902
ITI_48691	runS_49313	noise_55319	fp_55975	noise_56979	tpc_57531	noise_58519	cuec59217	resc_60595
ITI_61411	runS_62150	head_photo_68159	resh_71026	NA	NA	NA	NA	NA
ITI_71041	runS_71750	noise_77761	fp_78752	noise_79757	tp_80684	noise_81670	cue_82456	res_84466
ITI_85429	runS_86137	noise_92156	fpc_92831	noise_93819	tpc_94321	noise_95314	cuec95981	resc_97135
ITI_97680	runS_98473	noise_104470	fp_105173	noise_106180	tp_106942	noise_107933	cue_108892	res_110698
ITI_111564	runS_112390	noise_118398	fp_119305	noise_120303	tp_121143	noise_122136	cue_122992	res_124654
ITI_125273	runS_125878	noise_131896	fp_132858	noise_133860	tp_134836	noise_135835	cue_136428	res_138942
ITI_139459	runS_139978	noise_145997	fpc_146761	noise_147762	tpc_148355	noise_149352	cuec149872	resc_151367
ITI_152177	runS_152756	noise_158779	fp_159491	noise_160501	tp_161419	noise_162418	cue_163393	res_165548
ITI_166066	runS_166869	noise_172876	fpc_173724	noise_174718	tpc_175536	noise_176539	cuec177417	resc_181491
ITI_182238	runS_183240	noise_189262	fp_189864	noise_190861	tp_191434	noise_192433	cue_193315	res_195375
ITI_195900	runS_196840	noise_202862	fp_203389	noise_204377	tp_204904	noise_205896	cue_206439	res_211935
ITI_212683	runS_213407	noise_219420	fp_220398	noise_221402	tpc_222099	noise_223093	cuec224061	resc_225396
ITI_226209	runS_226814	head_photo_232818	resh_236191	NA	NA	NA	NA	NA
ITI_236207	runS_236803	noise_242818	fp_243537	noise_244531	tp_245169	noise_246154	cue_246655	res_249120
ITI_249658	runS_250416	noise_256431	fp_257413	noise_258418	tp_259309	noise_260290	cue_260819	res_262537
ITI_263084	runS_263668	noise_269675	fpc_270253	noise_271259	tpc_271837	noise_272839	cuec273664	resc_274958
ITI_275864	runS_276512	head_photo_282518	resh_284206	NA	NA	NA	NA	NA
ITI_284222	runS_284753	noise_290755	fp_291293	noise_292296	tp_292915	noise_293918	cue_294589	res_295696
ITI_296299	runS_296843	noise_302853	fp_303595	noise_304597	tp_305330	noise_306332	cue_306846	res_308142
ITI_308873	runS_309390	noise_315402	fp_316065	noise_317055	tp_317612	noise_318616	cue_319554	res_329577
ITI_330320	runS_330926	noise_336935	fp_337441	noise_338439	tp_339218	noise_340215	cue_340818	res_343150
ITI_343982	runS_344770	noise_350777	fp_351414	noise_352422	tp_353146	noise_354136	cue_354887	res_356733
ITI_357587	runS_358189	noise_364198	fpc_365018	noise_366018	tpc_366595	noise_367599	cuec368552	resc_369717
ITI_370568	runS_371179	noise_377197	fp_378114	noise_379112	tp_379693	noise_380693	cue_381479	res_382586
ITI_383260	runS_384201	noise_390210	fp_390923	noise_391915	tpc_392652	noise_393655	cuec394558	resc_395935
ITI_396800	runS_397502	noise_403516	fpc_404304	noise_405301	tpc_406003	noise_406990	cuec407936	resc_409388
ITI_409984	runS_410773	noise_416779	fp_417448	noise_418438	tp_419335	noise_420334	cue_420849	res_422039
ITI_423020	runS_423970	noise_429975	fp_430506	noise_431502	tp_432485	noise_433474	cue_434004	res_435182
ITI_435694	runS_436486	noise_442497	fp_443143	noise_444141	tp_444714	noise_445716	cue_446325	res_447499
ITI_448356	runS_448983	noise_455002	fp_455782	noise_456780	tp_457655	noise_458654	cue_459157	res_461255
ITI_462004	runS_462865	noise_468881	fpc_469843	noise_470839	tpc_471559	noise_472553	cuec473358	resc_475581
ITI_476556	runS_477211	noise_483221	fp_483806	noise_484801	tp_485540	noise_486533	cue_487202	res_489623
ITI_490476	runS_491016	noise_497040	fp_497589	noise_498577	tpc_499201	noise_500200	cuec501063	resc_502120
ITI_502965	runS_503814	noise_509823	fp_510738	noise_511736	tp_512255	noise_513257	cue_514236	res_515231
ITI_515792	runS_516773	noise_522783	fp_523567	noise_524557	tpc_525260	noise_526258	cuec527251	resc_528504
ITI_529334	runS_530196	noise_536216	fp_536804	noise_537796	tp_538538	noise_539537	cue_540209	res_543380
ITI_544085	runS_544905	noise_550913	fp_551573	noise_552571	tp_553413	noise_554411	cue_554953	res_556164
ITI_556782	runS_557605	noise_563615	fp_564516	noise_565524	tpc_566389	noise_567378	cuec567928	resc_569286
ITI_569880	runS_570458	head_photo_576475	resh_577994	NA	NA	NA	NA	NA
ITI_578002	runS_578922	head_photo_584939	resh_587445	NA	NA	NA	NA	NA
ITI_587454	runS_588443	noise_594457	fpc_595135	noise_596136	tpc_597022	noise_598012	cuec598522	resc_599249
ITI_599959	runS_600517	head_photo_606532	resh_607596	NA	NA	NA	NA	NA
ITI_607609	runS_608412	noise_614414	fp_615257	noise_616259	tpc_617086	noise_618074	cuec618614	resc_619689
ITI_620286	runS_621077	head_photo_627097	resh_628194	NA	NA	NA	NA	NA
ITI_628203	runS_629175	noise_635178	fp_635705	noise_636699	tp_637501	noise_638492	cue_639403	res_640462
ITI_641111	runS_641675	noise_647674	fp_648225	noise_649218	tpc_649845	noise_650832	cuec651763	resc_652445
ITI_653143	runS_653926	head_photo_659938	resh_661082	NA	NA	NA	NA	NA
ITI_661098	runS_662079	head_photo_668099	resh_669447	NA	NA	NA	NA	NA
ITI_669463	runS_670438	noise_676455	fpc_677236	noise_678231	tpc_679232	noise_680239	cuec680830	resc_682133
ITI_682856	runS_683788	noise_689793	fp_690746	noise_691733	tpc_692486	noise_693476	cuec694259	resc_695443
