ITI_2	runS_641	noise_6608	fp_7133	noise_8126	tp_9066	noise_10047	cue_10913	res_11913
ITI_12569	runS_13486	noise_19492	fpc_20393	noise_21392	tpc_22085	noise_23071	cue_24000	res_24929
ITI_25435	runS_26053	head_photo_32071	resh_33172	NA	NA	NA	NA	NA
ITI_33783	runS_34745	head_photo_40748	resh_42189	NA	NA	NA	NA	NA
ITI_42989	runS_43905	head_photo_49907	resh_51935	NA	NA	NA	NA	NA
ITI_52646	runS_53228	noise_59228	fp_59970	noise_60965	tp_61786	noise_62790	cue_63651	res_64888
ITI_65492	runS_66410	noise_72430	fpc_73141	noise_74127	tpc_74696	noise_75692	cue_76615	res_77999
ITI_78977	runS_79795	noise_85809	fp_86514	noise_87513	tp_88158	noise_89151	cue_89945	res_91972
ITI_92758	runS_93476	noise_99493	fpc_100046	noise_101047	tpc_101898	noise_102892	cue_103602	res_104644
ITI_105400	runS_106084	noise_112085	fpc_112858	noise_113849	tpc_114512	noise_115509	cue_116495	res_117465
ITI_118347	runS_119268	noise_125265	fp_125830	noise_126824	tp_127726	noise_128727	cue_129563	res_130859
ITI_131641	runS_132488	noise_138488	fp_139271	noise_140266	tp_141097	noise_142087	cue_142652	res_146799
ITI_147312	runS_147836	noise_153851	fp_154414	noise_155412	tpc_156095	noise_157092	cue_158021	res_159576
ITI_160101	runS_160871	noise_166891	fp_167873	noise_168865	tp_169793	noise_170785	cue_171583	res_172624
ITI_173172	runS_173929	noise_179933	fpc_180769	noise_181769	tpc_182636	noise_183628	cue_184556	res_185503
ITI_186075	runS_186786	noise_192792	fp_193722	noise_194706	tp_195277	noise_196265	cue_196922	res_197846
ITI_198426	runS_199252	noise_205274	fp_206141	noise_207125	tpc_207700	noise_208688	cue_209350	res_210371
ITI_211283	runS_211845	noise_217847	fpc_218460	noise_219452	tpc_220357	noise_221348	cue_221960	res_222943
ITI_223519	runS_224044	noise_230049	fp_230916	noise_231906	tp_232450	noise_233453	cue_234357	res_235856
ITI_236622	runS_237159	noise_243166	fp_244108	noise_245107	tpc_245665	noise_246670	cue_247194	res_248098
ITI_248653	runS_249603	head_photo_255606	resh_257017	NA	NA	NA	NA	NA
ITI_257882	runS_258444	noise_264451	fp_265102	noise_266086	tp_266761	noise_267751	cue_268394	res_269254
