ITI_2	runS_641	noise_6608	fp_7133	noise_8126	tp_9066	noise_10047	cue_10913	res_11913
ITI_270103	runS_270859	noise_276867	fp_277622	noise_278608	tp_279210	noise_280212	cue_280733	res_281774
ITI_282382	runS_283055	noise_289066	fp_289977	noise_290973	tpc_291559	noise_292546	cue_293191	res_294133
ITI_294661	runS_295427	noise_301431	fp_302373	noise_303372	tp_303943	noise_304927	cue_305838	res_309020
ITI_309719	runS_310311	noise_316325	fpc_316849	noise_317851	tpc_318483	noise_319467	cue_320436	res_321453
ITI_322182	runS_323154	head_photo_329168	resh_330766	NA	NA	NA	NA	NA
ITI_331422	runS_332228	noise_338232	fp_339004	noise_340007	tp_340730	noise_341727	cue_342414	res_345001
ITI_345830	runS_346582	noise_352593	fp_353253	noise_354249	tp_355023	noise_356011	cue_356722	res_358725
ITI_359495	runS_360186	noise_366187	fp_366712	noise_367706	tp_368493	noise_369488	cue_370240	res_371084
ITI_371991	runS_372663	noise_378667	fp_379484	noise_380489	tp_381296	noise_382292	cue_383045	res_384328
ITI_384840	runS_385467	noise_391468	fpc_392042	noise_393027	tpc_393811	noise_394812	cue_395800	res_397052
ITI_397739	runS_398367	noise_404365	fp_404919	noise_405905	tpc_406704	noise_407713	cue_408281	res_409473
ITI_410396	runS_411259	noise_417268	fp_417998	noise_418990	tp_419869	noise_420868	cue_421667	res_423013
ITI_423684	runS_424275	noise_430286	fp_430995	noise_431986	tp_432555	noise_433546	cue_434362	res_435393
ITI_436326	runS_437227	noise_443228	fp_444136	noise_445129	tp_445898	noise_446893	cue_447873	res_449374
ITI_450036	runS_450774	head_photo_456788	resh_458314	NA	NA	NA	NA	NA
ITI_458932	runS_459741	noise_465747	fp_466341	noise_467327	tpc_468141	noise_469130	cue_469695	res_470915
ITI_471698	runS_472207	noise_478211	fp_479029	noise_480029	tp_480983	noise_481966	cue_482812	res_483815
ITI_484692	runS_485512	head_photo_491530	resh_492951	NA	NA	NA	NA	NA
ITI_493592	runS_494580	head_photo_500584	resh_502978	NA	NA	NA	NA	NA
ITI_503552	runS_504069	noise_510071	fp_510659	noise_511647	tp_512529	noise_513530	cue_514135	res_515073
ITI_515673	runS_516189	head_photo_522186	resh_523426	NA	NA	NA	NA	NA
ITI_524061	runS_524608	noise_530609	fp_531578	noise_532572	tp_533441	noise_534425	cue_534970	res_536522
ITI_537098	runS_538064	noise_544072	fp_545009	noise_546005	tp_546828	noise_547826	cue_548511	res_549332
ITI_550158	runS_550980	noise_556993	fp_557957	noise_558949	tp_559641	noise_560631	cue_561240	res_572157
ITI_572863	runS_573746	noise_579750	fp_580740	noise_581726	tp_582572	noise_583565	cue_584485	res_588481
ITI_589444	runS_590409	noise_596409	fp_596971	noise_597969	tp_598949	noise_599948	cue_600580	res_603667
ITI_604561	runS_605069	noise_611071	fp_612052	noise_613045	tp_614020	noise_615004	cue_615661	res_617472
ITI_618170	runS_619099	noise_625110	fpc_625811	noise_626807	tpc_627683	noise_628664	cue_629376	res_630476
ITI_631139	runS_632122	noise_638128	fp_638853	noise_639849	tpc_640727	noise_641733	cue_642496	res_643320
ITI_644159	runS_644721	noise_650728	fp_651315	noise_652309	tpc_653182	noise_654171	cue_655037	res_655957
ITI_656734	runS_657248	noise_663247	fp_664033	noise_665029	tp_665891	noise_666890	cue_667652	res_670839
ITI_671529	runS_672100	noise_678113	fp_679021	noise_680008	tpc_680777	noise_681767	cue_682352	res_683187
