ITI_4	runS_659	noise_6670	fp_7313	noise_8312	tp_8953	noise_9948	cue_10786	res_11581
ITI_12083	runS_12594	head_photo_18611	resh_19829	NA	NA	NA	NA	NA
ITI_19839	runS_20411	noise_26432	fp_26961	noise_27947	tp_28657	noise_29649	cue_30551	res_31431
ITI_32156	runS_32736	noise_38754	fp_39322	noise_40307	tp_41075	noise_42066	cue_42671	res_43907
ITI_44691	runS_45536	noise_51544	fp_52379	noise_53370	tp_54247	noise_55244	cue_56163	res_57860
ITI_58811	runS_59512	noise_65527	fp_66091	noise_67089	tpc_67995	noise_68986	cuec69956	resc_70783
ITI_71675	runS_72271	noise_78291	fp_79269	noise_80269	tp_81212	noise_82204	cue_82955	res_83685
ITI_84496	runS_85474	head_photo_91489	resh_92584	NA	NA	NA	NA	NA
ITI_92599	runS_93309	noise_99323	fp_100222	noise_101204	tp_101719	noise_102702	cue_103326	res_103924
ITI_104817	runS_105413	noise_111428	fp_112072	noise_113070	tp_113717	noise_114706	cue_115597	res_116651
ITI_117414	runS_118280	noise_124289	fp_125190	noise_126189	tpc_126940	noise_127929	cuec128645	resc_129404
ITI_130077	runS_130949	noise_136969	fp_137483	noise_138489	tp_139456	noise_140449	cue_141164	res_141847
ITI_142403	runS_143387	head_photo_149389	resh_150870	NA	NA	NA	NA	NA
ITI_150879	runS_151700	head_photo_157714	resh_158478	NA	NA	NA	NA	NA
ITI_158488	runS_159437	noise_165448	fpc_166041	noise_167032	tpc_167790	noise_168784	cuec169611	resc_170536
ITI_171268	runS_172201	noise_178215	fp_179158	noise_180150	tp_180880	noise_181869	cue_182564	res_183228
ITI_183755	runS_184355	noise_190371	fp_191155	noise_192146	tpc_192987	noise_193983	cuec194883	resc_195876
ITI_196618	runS_197531	noise_203542	fp_204493	noise_205486	tpc_206473	noise_207472	cuec208151	resc_208796
ITI_209589	runS_210208	head_photo_216207	resh_217274	NA	NA	NA	NA	NA
ITI_217289	runS_218128	noise_224132	fp_224788	noise_225789	tp_226566	noise_227563	cue_228349	res_229086
ITI_229622	runS_230167	noise_236166	fp_237055	noise_238047	tp_238620	noise_239610	cue_240454	res_242211
ITI_242929	runS_243898	noise_249907	fp_250473	noise_251476	tp_252468	noise_253464	cue_254360	res_255187
ITI_255774	runS_256567	noise_262569	fpc_263223	noise_264223	tpc_264819	noise_265803	cuec266774	resc_267531
ITI_268424	runS_269115	noise_275131	fpc_275653	noise_276648	tpc_277391	noise_278391	cuec279357	resc_280222
ITI_281101	runS_281759	noise_287770	fp_288429	noise_289429	tpc_289961	noise_290948	cuec291586	resc_292644
ITI_293538	runS_294083	noise_300091	fp_300803	noise_301804	tp_302658	noise_303643	cue_304501	res_305177
ITI_305999	runS_306854	head_photo_312865	resh_313787	NA	NA	NA	NA	NA
ITI_313796	runS_314396	noise_320407	fpc_321216	noise_322208	tpc_323050	noise_324045	cuec324887	resc_325604
ITI_326337	runS_327058	noise_333066	fp_333813	noise_334811	tpc_335651	noise_336648	cuec337390	resc_337920
ITI_338848	runS_339499	noise_345508	fpc_346375	noise_347378	tpc_347896	noise_348889	cuec349858	resc_351245
ITI_351764	runS_352407	noise_358407	fpc_359374	noise_360371	tpc_361031	noise_362027	cuec362833	resc_363669
ITI_364539	runS_365531	noise_371544	fp_372348	noise_373346	tp_374143	noise_375143	cue_375818	res_378253
ITI_378812	runS_379744	noise_385749	fp_386390	noise_387389	tp_388318	noise_389309	cue_390024	res_390511
ITI_391183	runS_392155	head_photo_398171	resh_398997	NA	NA	NA	NA	NA
ITI_399007	runS_399858	noise_405866	fpc_406720	noise_407703	tpc_408463	noise_409465	cuec410006	resc_410663
ITI_411546	runS_412246	noise_418245	fpc_419070	noise_420069	tpc_420671	noise_421665	cuec422259	resc_423124
ITI_423633	runS_424168	noise_430170	fp_430924	noise_431931	tp_432813	noise_433803	cue_434736	res_435913
ITI_436434	runS_437371	noise_443391	fp_443952	noise_444943	tp_445912	noise_446909	cue_447738	res_448680
ITI_449467	runS_450230	noise_456245	fp_456872	noise_457864	tp_458680	noise_459670	cue_460262	res_461210
ITI_461938	runS_462844	noise_468849	fp_469455	noise_470451	tpc_471023	noise_472031	cuec472578	resc_473356
ITI_474073	runS_474837	noise_480846	fp_481616	noise_482611	tp_483454	noise_484445	cue_485163	res_485922
ITI_486464	runS_487146	noise_493150	fp_493965	noise_494969	tpc_495493	noise_496484	cuec497220	resc_498578
ITI_499407	runS_500037	noise_506050	fp_506559	noise_507545	tp_508333	noise_509326	cue_509837	res_510905
ITI_511437	runS_512421	head_photo_518431	resh_519221	NA	NA	NA	NA	NA
ITI_519232	runS_520157	noise_526165	fp_527113	noise_528105	tp_528697	noise_529692	cue_530531	res_531565
