ITI_2	runS_656	noise_6657	fp_7199	noise_8195	tp_8912	noise_9907	cue_10746	res_13244
ITI_13955	runS_14721	noise_20734	fp_21392	noise_22390	tp_22940	noise_23929	cue_24819	res_25860
ITI_26707	runS_27618	noise_33639	fp_34527	noise_35528	tp_36070	noise_37070	cue_37926	res_39157
ITI_39723	runS_40280	noise_46298	fp_47130	noise_48133	tp_49070	noise_50068	cue_51006	res_52119
ITI_52890	runS_53827	noise_59829	fp_60508	noise_61513	tpc_62222	noise_63208	cue_64120	res_65463
ITI_66331	runS_66977	noise_72992	fp_73928	noise_74929	tp_75436	noise_76429	cue_77117	res_78016
ITI_78960	runS_79699	head_photo_85712	resh_86794	NA	NA	NA	NA	NA
ITI_87600	runS_88518	noise_94527	fp_95282	noise_96273	tp_97123	noise_98114	cue_98725	res_99697
ITI_100603	runS_101542	head_photo_107553	resh_108866	NA	NA	NA	NA	NA
ITI_109690	runS_110237	noise_116251	fpc_117155	noise_118153	tpc_118908	noise_119908	cue_120892	res_122767
ITI_123706	runS_124244	noise_130255	fp_130821	noise_131810	tp_132316	noise_133312	cue_134169	res_135214
ITI_136074	runS_136717	head_photo_142730	resh_143881	NA	NA	NA	NA	NA
ITI_144466	runS_145217	noise_151238	fp_152132	noise_153132	tp_153754	noise_154748	cue_155277	res_156430
ITI_156993	runS_157870	head_photo_163873	resh_165308	NA	NA	NA	NA	NA
ITI_165842	runS_166754	noise_172769	fpc_173711	noise_174716	tpc_175345	noise_176329	cue_177281	res_178492
ITI_179404	runS_180255	noise_186277	fp_187104	noise_188092	tp_188622	noise_189612	cue_190486	res_191584
ITI_192229	runS_193119	noise_199139	fp_199834	noise_200832	tp_201591	noise_202594	cue_203329	res_204979
ITI_205717	runS_206588	head_photo_212586	resh_214025	NA	NA	NA	NA	NA
ITI_214846	runS_215528	head_photo_221526	resh_223063	NA	NA	NA	NA	NA
ITI_223829	runS_224776	noise_230788	fp_231729	noise_232738	tpc_233399	noise_234388	cue_234942	res_236194
ITI_237013	runS_237629	noise_243632	fpc_244252	noise_245256	tpc_246095	noise_247095	cue_247945	res_248944
ITI_249476	runS_250001	noise_256013	fp_256853	noise_257849	tp_258400	noise_259391	cue_260265	res_261239
ITI_261986	runS_262695	noise_268715	fp_269636	noise_270630	tp_271473	noise_272467	cue_273238	res_274423
ITI_275211	runS_275886	noise_281888	fpc_282510	noise_283514	tpc_284504	noise_285486	cue_286407	res_287674
ITI_288489	runS_289268	noise_295266	fpc_296083	noise_297072	tpc_297659	noise_298647	cue_299294	res_300515
ITI_301314	runS_301827	noise_307826	fp_308474	noise_309469	tpc_310141	noise_311127	cue_311844	res_312894
ITI_313522	runS_314110	noise_320115	fpc_321107	noise_322121	tpc_322776	noise_323767	cue_324710	res_325872
ITI_326752	runS_327354	noise_333378	fp_334095	noise_335097	tp_335615	noise_336610	cue_337306	res_338339
ITI_339144	runS_339680	head_photo_345692	resh_346756	NA	NA	NA	NA	NA
ITI_347440	runS_348333	noise_354354	fp_355187	noise_356187	tp_357107	noise_358112	cue_358791	res_360081
ITI_360675	runS_361260	noise_367271	fp_367976	noise_368974	tp_369687	noise_370691	cue_371464	res_372547
ITI_373372	runS_374152	noise_380166	fpc_380725	noise_381712	tpc_382401	noise_383395	cue_384003	res_385107
ITI_385969	runS_386823	noise_392828	fp_393496	noise_394494	tp_395348	noise_396350	cue_397030	res_399162
ITI_399933	runS_400885	noise_406892	fp_407427	noise_408433	tp_409262	noise_410253	cue_411231	res_412264
ITI_412910	runS_413424	noise_419432	fpc_420237	noise_421226	tpc_421761	noise_422747	cue_423517	res_424666
ITI_425220	runS_425917	noise_431933	fp_432896	noise_433893	tp_434676	noise_435675	cue_436317	res_437347
ITI_438297	runS_439241	noise_445252	fp_445800	noise_446799	tp_447629	noise_448634	cue_449341	res_451359
ITI_451995	runS_452713	noise_458733	fp_459412	noise_460417	tp_461336	noise_462334	cue_463302	res_464661
ITI_465293	runS_466120	noise_472129	fp_472905	noise_473892	tpc_474857	noise_475853	cue_476392	res_477770
ITI_478695	runS_479407	noise_485413	fp_486179	noise_487172	tpc_488080	noise_489066	cue_489915	res_491021
ITI_491597	runS_492574	noise_498590	fp_499431	noise_500431	tpc_501321	noise_502311	cue_503121	res_504798
ITI_505674	runS_506328	noise_512332	fp_512913	noise_513914	tp_514755	noise_515746	cue_516443	res_517455
ITI_518348	runS_519059	noise_525070	fp_525667	noise_526676	tpc_527438	noise_528429	cue_529371	res_530917
ITI_531639	runS_532332	noise_538349	fp_538890	noise_539891	tp_540519	noise_541511	cue_542188	res_543363
ITI_544079	runS_544853	noise_550874	fp_551822	noise_552811	tp_553527	noise_554534	cue_555255	res_556303
ITI_556857	runS_557524	noise_563530	fp_564414	noise_565412	tpc_566008	noise_567013	cue_567614	res_568539
ITI_569516	runS_570115	noise_576130	fp_576886	noise_577897	tp_578587	noise_579590	cue_580510	res_581543
ITI_582035	runS_582684	noise_588694	fp_589283	noise_590273	tpc_590855	noise_591852	cue_592399	res_593815
ITI_594801	runS_595795	noise_601812	fpc_602361	noise_603351	tpc_604288	noise_605287	cue_605839	res_606916
ITI_607788	runS_608364	head_photo_614375	resh_615462	NA	NA	NA	NA	NA
ITI_616181	runS_616988	head_photo_622986	resh_623993	NA	NA	NA	NA	NA
ITI_624737	runS_625383	noise_631390	fp_632184	noise_633172	tp_633874	noise_634871	cue_635518	res_636992
ITI_637521	runS_638451	noise_644448	fp_645312	noise_646313	tp_646847	noise_647847	cue_648796	res_649857
ITI_650827	runS_651702	noise_657710	fp_658234	noise_659229	tp_659882	noise_660872	cue_661436	res_662608
