ITI_2	runS_808	noise_6795	fp_7407	noise_8398	tp_9075	noise_10054	cue_10695	res_13077
ITI_13638	runS_14617	noise_20639	fp_21532	noise_22533	tp_23266	noise_24257	cue_25074	res_27893
ITI_28463	runS_28970	noise_34972	fp_35684	noise_36677	tpc_37370	noise_38358	cue_38986	res_40987
ITI_41758	runS_42421	noise_48438	fp_49392	noise_50397	tp_50901	noise_51892	cue_52778	res_55673
ITI_56370	runS_57298	head_photo_63321	resh_64969	NA	NA	NA	NA	NA
ITI_65683	runS_66402	head_photo_72418	resh_73823	NA	NA	NA	NA	NA
ITI_74711	runS_75475	noise_81472	fp_82013	noise_83016	tp_84011	noise_85017	cue_85947	res_87291
ITI_88082	runS_88583	noise_94593	fp_95315	noise_96312	tpc_97265	noise_98254	cue_98951	res_100097
ITI_100796	runS_101643	noise_107659	fp_108243	noise_109232	tpc_109801	noise_110795	cue_111377	res_113066
ITI_113989	runS_114488	noise_120497	fp_121428	noise_122415	tp_123012	noise_124012	cue_124999	res_127220
ITI_128088	runS_128916	noise_134916	fp_135539	noise_136536	tp_137387	noise_138378	cue_139121	res_140750
ITI_141561	runS_142078	noise_148093	fpc_148709	noise_149700	tpc_150619	noise_151612	cue_152135	res_153468
ITI_154171	runS_155036	noise_161040	fp_161663	noise_162658	tpc_163294	noise_164293	cue_165252	res_166844
ITI_167489	runS_168479	noise_174500	fp_175083	noise_176073	tp_176790	noise_177778	cue_178556	res_180653
ITI_181527	runS_182227	noise_188239	fp_189140	noise_190134	tp_190826	noise_191818	cue_192682	res_193973
ITI_194596	runS_195250	noise_201260	fpc_202120	noise_203112	tpc_203903	noise_204894	cue_205527	res_207167
ITI_207779	runS_208670	noise_214675	fpc_215288	noise_216273	tpc_217050	noise_218033	cue_219009	res_220358
ITI_221223	runS_221840	noise_227857	fp_228803	noise_229798	tp_230606	noise_231599	cue_232257	res_234677
ITI_235357	runS_236159	noise_242181	fp_242966	noise_243955	tpc_244930	noise_245917	cue_246864	res_248066
ITI_249019	runS_249873	noise_255880	fp_256405	noise_257395	tp_258070	noise_259059	cue_259776	res_262065
ITI_263033	runS_263803	noise_269817	fp_270706	noise_271700	tpc_272467	noise_273454	cue_274047	res_275345
ITI_275866	runS_276724	noise_282739	fp_283731	noise_284713	tp_285681	noise_286677	cue_287573	res_292565
ITI_293474	runS_294274	noise_300273	fpc_300935	noise_301936	tpc_302709	noise_303700	cue_304686	res_305761
ITI_306678	runS_307642	noise_313659	fp_314287	noise_315275	tp_316200	noise_317196	cue_317874	res_320735
ITI_321554	runS_322407	noise_328415	fpc_329129	noise_330115	tpc_331038	noise_332033	cue_332748	res_334372
ITI_335314	runS_335996	noise_342000	fp_342606	noise_343596	tp_344159	noise_345156	cue_346085	res_347527
ITI_348190	runS_349035	noise_355034	fp_355758	noise_356753	tpc_357538	noise_358534	cue_359335	res_360527
ITI_361499	runS_362381	noise_368398	fp_369045	noise_370039	tp_370692	noise_371700	cue_372449	res_374535
ITI_375268	runS_376105	noise_382113	fp_382984	noise_383978	tp_384917	noise_385919	cue_386468	res_387839
