ITI_2	runS_851	noise_6833	fp_7642	noise_8627	tp_9211	noise_10206	cue_10959	res_12051
ITI_12909	runS_13459	noise_19467	fp_20227	noise_21231	tp_22138	noise_23127	cue_24026	res_25334
ITI_26310	runS_27000	noise_33012	fp_33954	noise_34948	tp_35867	noise_36869	cue_37708	res_39133
ITI_39946	runS_40881	noise_46889	fp_47476	noise_48467	tp_48991	noise_49990	cue_50963	res_51993
ITI_52914	runS_53512	head_photo_59531	resh_63425	NA	NA	NA	NA	NA
ITI_64387	runS_65141	noise_71157	fp_72134	noise_73131	tpc_74059	noise_75046	cue_75581	res_76651
ITI_77217	runS_78211	noise_84230	fp_84805	noise_85808	tp_86359	noise_87351	cue_88001	res_89811
ITI_90406	runS_91281	noise_97289	fp_97874	noise_98872	tp_99783	noise_100766	cue_101292	res_103547
ITI_104196	runS_104743	noise_110750	fp_111578	noise_112567	tpc_113410	noise_114409	cue_115067	res_116127
ITI_116883	runS_117585	head_photo_123594	resh_125009	NA	NA	NA	NA	NA
ITI_125669	runS_126414	noise_132427	fp_133132	noise_134130	tp_134966	noise_135968	cue_136722	res_137814
ITI_138759	runS_139577	head_photo_145594	resh_148155	NA	NA	NA	NA	NA
ITI_148737	runS_149344	noise_155346	fp_156044	noise_157030	tp_157789	noise_158787	cue_159454	res_161005
ITI_161729	runS_162564	noise_168574	fp_169318	noise_170306	tp_170917	noise_171910	cue_172815	res_173941
ITI_174738	runS_175618	noise_181627	fp_182442	noise_183431	tp_184134	noise_185134	cue_185735	res_187084
ITI_187636	runS_188620	noise_194630	fp_195236	noise_196234	tp_196910	noise_197905	cue_198709	res_199875
ITI_200547	runS_201476	noise_207490	fp_208172	noise_209168	tp_210151	noise_211145	cue_211647	res_213091
ITI_213986	runS_214649	noise_220651	fp_221341	noise_222333	tp_222837	noise_223829	cue_224590	res_225944
ITI_226577	runS_227396	noise_233405	fpc_234048	noise_235051	tpc_235941	noise_236925	cue_237875	res_239273
ITI_240223	runS_240899	noise_246906	fp_247461	noise_248451	tp_248967	noise_249972	cue_250744	res_251763
ITI_252630	runS_253276	noise_259288	fp_260114	noise_261108	tpc_261744	noise_262725	cue_263594	res_264883
ITI_265687	runS_266268	noise_272265	fpc_272831	noise_273829	tpc_274787	noise_275792	cue_276489	res_277682
ITI_278470	runS_279020	noise_285032	fpc_285541	noise_286535	tpc_287215	noise_288207	cue_288943	res_290004
ITI_290678	runS_291204	noise_297210	fp_298138	noise_299128	tpc_300053	noise_301049	cue_301588	res_302842
ITI_303597	runS_304486	noise_310485	fp_311427	noise_312425	tpc_313134	noise_314131	cue_314900	res_316109
ITI_316902	runS_317528	head_photo_323528	resh_324934	NA	NA	NA	NA	NA
ITI_325441	runS_325996	head_photo_332008	resh_333333	NA	NA	NA	NA	NA
ITI_334147	runS_334947	noise_340947	fp_341642	noise_342633	tp_343491	noise_344487	cue_345135	res_346398
ITI_347378	runS_348224	head_photo_354232	resh_355167	NA	NA	NA	NA	NA
ITI_355856	runS_356803	noise_362814	fpc_363484	noise_364466	tpc_365168	noise_366168	cue_366670	res_367857
ITI_368415	runS_369280	noise_375287	fp_376273	noise_377267	tp_378024	noise_379006	cue_379833	res_380894
ITI_381707	runS_382553	noise_388570	fp_389429	noise_390427	tp_391135	noise_392125	cue_392658	res_394190
ITI_394988	runS_395844	noise_401849	fp_402531	noise_403526	tp_404049	noise_405050	cue_405776	res_407178
ITI_407945	runS_408898	noise_414912	fp_415582	noise_416568	tp_417503	noise_418494	cue_419434	res_420549
ITI_421416	runS_422142	noise_428146	fpc_428884	noise_429873	tpc_430758	noise_431753	cue_432586	res_433834
