ITI_8	runS_702	noise_6696	fpc_7563	noise_8561	tpc_9424	noise_10413	cue_11082	res_12984
ITI_13579	runS_14221	noise_20237	fp_20745	noise_21737	tpc_22459	noise_23450	cue_24082	res_26597
ITI_27259	runS_27976	noise_33999	fp_34826	noise_35811	tp_36340	noise_37335	cue_38144	res_40739
ITI_41371	runS_42325	noise_48332	fp_48855	noise_49856	tp_50474	noise_51478	cue_52079	res_54177
ITI_55160	runS_56133	noise_62130	fp_62936	noise_63935	tp_64893	noise_65893	cue_66825	res_70225
ITI_70828	runS_71546	noise_77554	fp_78233	noise_79235	tp_79827	noise_80811	cue_81427	res_83848
ITI_84344	runS_84935	head_photo_90936	resh_93086	NA	NA	NA	NA	NA
ITI_93753	runS_94268	head_photo_100278	resh_102708	NA	NA	NA	NA	NA
ITI_103425	runS_104277	noise_110290	fp_111264	noise_112251	tp_112890	noise_113895	cue_114518	res_117830
ITI_118794	runS_119311	head_photo_125318	resh_127576	NA	NA	NA	NA	NA
ITI_128424	runS_128928	noise_134937	fp_135884	noise_136875	tp_137561	noise_138552	cue_139361	res_142902
ITI_143535	runS_144244	noise_150260	fp_150885	noise_151877	tp_152744	noise_153733	cue_154641	res_156442
ITI_157072	runS_157926	noise_163939	fp_164580	noise_165574	tp_166408	noise_167391	cue_168100	res_171490
ITI_172305	runS_173070	noise_179077	fp_179873	noise_180877	tpc_181813	noise_182813	cue_183585	res_184542
ITI_185513	runS_186185	noise_192198	fp_192992	noise_193993	tpc_194647	noise_195635	cue_196424	res_197645
ITI_198369	runS_199326	noise_205338	fp_206311	noise_207311	tpc_207927	noise_208913	cue_209636	res_211429
ITI_212341	runS_213048	noise_219057	fpc_219980	noise_220979	tpc_221641	noise_222639	cue_223232	res_224225
ITI_225060	runS_226044	noise_232058	fp_232581	noise_233572	tpc_234164	noise_235156	cue_235931	res_236911
ITI_237876	runS_238647	noise_244654	fp_245523	noise_246516	tp_247285	noise_248277	cue_249141	res_251073
ITI_251587	runS_252441	noise_258456	fpc_259398	noise_260395	tpc_261064	noise_262052	cue_263001	res_264046
ITI_264949	runS_265931	noise_271938	fp_272696	noise_273694	tp_274482	noise_275478	cue_276175	res_277552
ITI_278216	runS_278924	noise_284936	fp_285912	noise_286919	tp_287687	noise_288679	cue_289608	res_292998
ITI_293966	runS_294600	noise_300617	fp_301281	noise_302271	tp_302983	noise_303979	cue_304735	res_307328
ITI_308065	runS_308875	noise_314873	fp_315473	noise_316471	tpc_317189	noise_318176	cue_318738	res_319889
ITI_320605	runS_321257	noise_327273	fp_328043	noise_329036	tp_329853	noise_330856	cue_331801	res_333747
ITI_334725	runS_335468	noise_341475	fp_342433	noise_343434	tp_344222	noise_345215	cue_345797	res_347533
ITI_348502	runS_349223	noise_355238	fp_355897	noise_356898	tp_357596	noise_358596	cue_359441	res_362369
ITI_362859	runS_363743	noise_369755	fp_370743	noise_371737	tp_372308	noise_373295	cue_373905	res_376519
ITI_377400	runS_377971	noise_383978	fpc_384478	noise_385478	tpc_386378	noise_387380	cue_388039	res_389028
ITI_389878	runS_390807	noise_396813	fpc_397481	noise_398473	tpc_399212	noise_400214	cue_400826	res_401715
ITI_402409	runS_402910	noise_408917	fp_409439	noise_410437	tp_410943	noise_411937	cue_412549	res_417468
ITI_418291	runS_419036	noise_425035	fp_425667	noise_426655	tpc_427492	noise_428492	cue_429350	res_430281
