ITI_3	runS_952	noise_6947	fpc_7688	noise_8685	tpc_9471	noise_10463	cue_11435	res_12628
ITI_13261	runS_13851	noise_19868	fp_20572	noise_21564	tp_22450	noise_23451	cue_24430	res_26607
ITI_27137	runS_27848	noise_33843	fp_34455	noise_35448	tp_36139	noise_37129	cue_37967	res_39219
ITI_40117	runS_40688	noise_46711	fpc_47288	noise_48285	tpc_49000	noise_49989	cue_50924	res_52118
ITI_53063	runS_53947	noise_59948	fp_60792	noise_61783	tp_62559	noise_63547	cue_64521	res_65722
ITI_66296	runS_66979	noise_72988	fp_73891	noise_74886	tp_75502	noise_76483	cue_77349	res_81002
ITI_82009	runS_82901	noise_88904	fp_89488	noise_90486	tpc_91198	noise_92189	cue_92727	res_94051
ITI_94872	runS_95727	noise_101729	fpc_102565	noise_103572	tpc_104460	noise_105445	cue_105988	res_107854
ITI_108434	runS_109090	head_photo_115105	resh_117527	NA	NA	NA	NA	NA
ITI_118145	runS_118878	noise_124888	fp_125714	noise_126706	tp_127587	noise_128587	cue_129572	res_130557
ITI_131086	runS_132087	noise_138083	fp_138653	noise_139649	tp_140548	noise_141549	cue_142256	res_143269
ITI_143789	runS_144726	noise_150730	fp_151568	noise_152567	tp_153358	noise_154347	cue_155050	res_157559
ITI_158442	runS_158959	head_photo_164963	resh_166434	NA	NA	NA	NA	NA
ITI_166941	runS_168514	noise_174521	fpc_175344	noise_176341	tpc_177010	noise_177997	cue_178750	res_179963
ITI_180711	runS_181254	noise_187261	fp_188186	noise_189184	tp_189748	noise_190739	cue_191472	res_195240
ITI_196117	runS_197003	head_photo_203017	resh_204781	NA	NA	NA	NA	NA
ITI_205389	runS_206209	head_photo_212219	resh_214438	NA	NA	NA	NA	NA
ITI_215182	runS_215809	noise_221818	fp_222426	noise_223422	tpc_224216	noise_225221	cue_226170	res_227240
ITI_228031	runS_228915	noise_234924	fp_235887	noise_236884	tp_237595	noise_238605	cue_239440	res_243477
ITI_244435	runS_245055	noise_251062	fp_251651	noise_252637	tpc_253321	noise_254320	cue_254905	res_255849
ITI_256736	runS_257721	head_photo_263725	resh_265384	NA	NA	NA	NA	NA
ITI_265996	runS_266805	noise_272820	fp_273525	noise_274517	tp_275254	noise_276236	cue_277116	res_279041
ITI_279691	runS_280345	noise_286355	fpc_286943	noise_287944	tpc_288565	noise_289565	cue_290552	res_291290
