ITI_3	runS_963	noise_6940	fpc_7868	noise_8863	tpc_9458	noise_10460	cue_11454	res_12444
ITI_13418	runS_14049	noise_20059	fp_20831	noise_21819	tp_22591	noise_23580	cue_24295	res_26767
ITI_27747	runS_28449	noise_34461	fp_35234	noise_36218	tp_37064	noise_38062	cue_38665	res_41803
ITI_42427	runS_43192	noise_49196	fp_49761	noise_50761	tpc_51527	noise_52521	cue_53329	res_55083
ITI_55855	runS_56635	noise_62643	fp_63347	noise_64336	tpc_65283	noise_66280	cue_66958	res_68570
ITI_69148	runS_70067	noise_76081	fp_76779	noise_77779	tp_78510	noise_79501	cue_80496	res_81498
ITI_82156	runS_83135	noise_89138	fp_89864	noise_90864	tp_91390	noise_92385	cue_93259	res_94150
ITI_94748	runS_95402	noise_101417	fp_102092	noise_103078	tp_103891	noise_104882	cue_105399	res_106298
ITI_107225	runS_107739	noise_113739	fp_114386	noise_115382	tpc_116001	noise_116996	cue_117534	res_118910
ITI_119848	runS_120384	noise_126396	fpc_127084	noise_128079	tpc_128644	noise_129637	cue_130294	res_131609
ITI_132506	runS_133032	head_photo_139047	resh_140564	NA	NA	NA	NA	NA
ITI_141510	runS_142146	noise_148160	fp_148671	noise_149662	tp_150270	noise_151258	cue_151882	res_153881
ITI_154710	runS_155591	noise_161595	fp_162431	noise_163421	tp_164042	noise_165036	cue_165725	res_166979
ITI_167566	runS_168367	noise_174384	fp_175024	noise_176023	tpc_176838	noise_177842	cue_178391	res_179205
ITI_179738	runS_180538	noise_186537	fp_187269	noise_188261	tpc_189251	noise_190236	cue_190895	res_192018
ITI_192958	runS_193667	noise_199681	fpc_200592	noise_201581	tpc_202199	noise_203196	cue_204000	res_205175
ITI_206061	runS_207016	noise_213016	fpc_213603	noise_214605	tpc_215129	noise_216117	cue_216945	res_218112
ITI_218934	runS_219527	head_photo_225540	resh_227742	NA	NA	NA	NA	NA
ITI_228248	runS_228917	noise_234921	fp_235605	noise_236603	tp_237304	noise_238302	cue_239200	res_240108
ITI_241084	runS_241928	noise_247943	fp_248717	noise_249724	tp_250557	noise_251565	cue_252319	res_253601
ITI_254476	runS_255339	head_photo_261340	resh_262887	NA	NA	NA	NA	NA
ITI_263403	runS_263927	noise_269942	fpc_270818	noise_271818	tpc_272793	noise_273781	cue_274548	res_275368
ITI_275907	runS_276437	head_photo_282439	resh_284258	NA	NA	NA	NA	NA
ITI_285065	runS_285752	noise_291764	fp_292411	noise_293404	tp_294056	noise_295062	cue_295616	res_296389
ITI_297309	runS_298029	noise_304037	fp_304607	noise_305602	tp_306584	noise_307577	cue_308124	res_309278
ITI_310146	runS_310673	noise_316678	fp_317666	noise_318663	tp_319516	noise_320523	cue_321024	res_322407
ITI_323393	runS_324366	noise_330384	fp_331270	noise_332263	tp_333041	noise_334041	cue_334609	res_336477
ITI_337103	runS_337967	noise_343976	fp_344829	noise_345819	tp_346344	noise_347340	cue_347858	res_348950
ITI_349509	runS_350206	noise_356219	fpc_356812	noise_357802	tpc_358791	noise_359780	cue_360435	res_361329
ITI_362277	runS_363224	head_photo_369242	resh_370814	NA	NA	NA	NA	NA
ITI_371467	runS_372435	noise_378440	fp_379079	noise_380084	tpc_380663	noise_381660	cue_382358	res_383380
ITI_383947	runS_384573	noise_390576	fpc_391493	noise_392484	tpc_393387	noise_394382	cue_394902	res_396173
ITI_397142	runS_397922	head_photo_403946	resh_405648	NA	NA	NA	NA	NA
ITI_406180	runS_406927	noise_412942	fp_413930	noise_414919	tpc_415811	noise_416802	cue_417592	res_418625
ITI_419174	runS_420112	noise_426121	fp_427074	noise_428059	tp_428809	noise_429802	cue_430731	res_431708
ITI_432382	runS_433135	head_photo_439137	resh_440387	NA	NA	NA	NA	NA
ITI_440958	runS_441646	noise_447659	fp_448612	noise_449597	tp_450443	noise_451437	cue_452132	res_453652
ITI_454247	runS_455078	noise_461080	fp_461583	noise_462578	tpc_463560	noise_464560	cue_465220	res_467012
ITI_467590	runS_468264	noise_474284	fp_474902	noise_475897	tp_476816	noise_477819	cue_478439	res_479652
ITI_480568	runS_481532	noise_487542	fp_488315	noise_489322	tp_490285	noise_491276	cue_492237	res_493561
ITI_494455	runS_494962	head_photo_500977	resh_502817	NA	NA	NA	NA	NA
ITI_503731	runS_504660	noise_510655	fp_511441	noise_512438	tp_513180	noise_514180	cue_514960	res_516635
ITI_517222	runS_517822	noise_523839	fp_524623	noise_525624	tp_526259	noise_527259	cue_527878	res_529146
ITI_529769	runS_530762	noise_536781	fp_537533	noise_538522	tp_539463	noise_540456	cue_541218	res_543999
ITI_545001	runS_545700	noise_551700	fp_552698	noise_553698	tp_554288	noise_555282	cue_555978	res_557654
ITI_558266	runS_559250	noise_565259	fpc_566211	noise_567203	tpc_568058	noise_569060	cue_569894	res_570724
ITI_571241	runS_572127	noise_578136	fp_578755	noise_579741	tp_580603	noise_581595	cue_582206	res_585771
ITI_586566	runS_587276	noise_593277	fp_594079	noise_595082	tp_595683	noise_596684	cue_597392	res_598198
ITI_599123	runS_599995	head_photo_605999	resh_607679	NA	NA	NA	NA	NA
ITI_608535	runS_609037	noise_615037	fp_615927	noise_616919	tp_617612	noise_618603	cue_619542	res_621940
ITI_622874	runS_623842	noise_629860	fp_630528	noise_631521	tp_632093	noise_633084	cue_633938	res_634657
ITI_635422	runS_636250	noise_642258	fpc_643146	noise_644136	tpc_645012	noise_646001	cue_646905	res_647985
ITI_648555	runS_649239	noise_655242	fp_656155	noise_657162	tp_658125	noise_659116	cue_659870	res_662473
