ITI_2	runS_889	noise_6873	fp_7441	noise_8436	tp_9087	noise_10074	cue_11015	res_12331
ITI_12921	runS_13714	head_photo_19735	resh_22201	NA	NA	NA	NA	NA
ITI_22924	runS_23476	noise_29491	fp_30239	noise_31234	tp_31881	noise_32875	cue_33461	res_35017
ITI_35570	runS_36121	noise_42131	fp_42984	noise_43974	tp_44796	noise_45796	cue_46529	res_48157
ITI_48707	runS_49267	noise_55275	fp_55786	noise_56771	tpc_57370	noise_58373	cue_59050	res_60478
ITI_61326	runS_62032	noise_68033	fp_68628	noise_69631	tp_70503	noise_71495	cue_71990	res_73735
ITI_74578	runS_75423	noise_81432	fpc_81942	noise_82932	tpc_83834	noise_84837	cue_85618	res_87448
ITI_88123	runS_88986	noise_94996	fpc_95957	noise_96954	tpc_97591	noise_98590	cue_99139	res_100838
ITI_101740	runS_102540	noise_108550	fp_109194	noise_110196	tp_111002	noise_111995	cue_112596	res_114249
ITI_114948	runS_115702	noise_121711	fp_122612	noise_123611	tp_124200	noise_125195	cue_126101	res_126936
ITI_127796	runS_128606	noise_134610	fp_135231	noise_136233	tpc_137183	noise_138173	cue_139046	res_139860
ITI_140794	runS_141718	head_photo_147737	resh_149290	NA	NA	NA	NA	NA
ITI_150278	runS_151202	head_photo_157209	resh_159354	NA	NA	NA	NA	NA
ITI_160336	runS_161101	noise_167115	fp_167887	noise_168873	tpc_169642	noise_170638	cue_171206	res_173032
ITI_173734	runS_174526	head_photo_180530	resh_182377	NA	NA	NA	NA	NA
ITI_183069	runS_183742	head_photo_189749	resh_191128	NA	NA	NA	NA	NA
ITI_191924	runS_192467	noise_198475	fp_199251	noise_200249	tp_201185	noise_202176	cue_202869	res_204445
ITI_205069	runS_205714	noise_211731	fp_212368	noise_213374	tp_213956	noise_214953	cue_215455	res_217184
ITI_217716	runS_218562	noise_224569	fp_225431	noise_226434	tp_227258	noise_228250	cue_229115	res_229808
ITI_230779	runS_231382	noise_237394	fp_238214	noise_239215	tp_240030	noise_241034	cue_241973	res_243397
ITI_244167	runS_244923	noise_250928	fp_251771	noise_252774	tp_253576	noise_254572	cue_255483	res_256576
ITI_257340	runS_258112	head_photo_264110	resh_266090	NA	NA	NA	NA	NA
ITI_266678	runS_267518	noise_273530	fp_274295	noise_275290	tp_276068	noise_277071	cue_277965	res_279382
ITI_280268	runS_280912	head_photo_286913	resh_288380	NA	NA	NA	NA	NA
ITI_289238	runS_290001	noise_296012	fp_296669	noise_297673	tp_298234	noise_299236	cue_299809	res_302807
ITI_303394	runS_304115	noise_310130	fp_311070	noise_312074	tp_313048	noise_314049	cue_314978	res_315899
ITI_316420	runS_317064	head_photo_323073	resh_325098	NA	NA	NA	NA	NA
ITI_325855	runS_326607	noise_332615	fp_333326	noise_334312	tp_335059	noise_336049	cue_336574	res_337463
