ITI_2	runS_833	noise_6820	fpc_7520	noise_8511	tpc_9024	noise_10011	cue_10702	res_11519
ITI_12473	runS_13009	noise_19017	fpc_19984	noise_20972	tpc_21901	noise_22897	cue_23606	res_24261
ITI_25240	runS_26115	noise_32129	fp_32943	noise_33933	tp_34789	noise_35776	cue_36586	res_37355
ITI_38270	runS_38963	head_photo_44975	resh_46236	NA	NA	NA	NA	NA
ITI_46748	runS_47645	noise_53659	fpc_54515	noise_55515	tpc_56285	noise_57275	cue_58020	res_58622
ITI_59235	runS_60064	head_photo_66080	resh_67059	NA	NA	NA	NA	NA
ITI_67859	runS_68513	noise_74514	fp_75208	noise_76191	tpc_77013	noise_78010	cue_78712	res_79355
ITI_80168	runS_80905	noise_86915	fp_87896	noise_88897	tp_89626	noise_90614	cue_91522	res_92797
ITI_93454	runS_94018	noise_100034	fp_100654	noise_101653	tpc_102281	noise_103278	cue_104067	res_104777
ITI_105336	runS_105852	noise_111851	fp_112467	noise_113452	tp_114123	noise_115113	cue_115771	res_116384
ITI_117035	runS_118002	noise_124011	fp_124603	noise_125595	tp_126454	noise_127453	cue_128278	res_129156
ITI_129893	runS_130684	head_photo_136693	resh_137853	NA	NA	NA	NA	NA
ITI_138521	runS_139372	noise_145371	fp_146300	noise_147293	tp_148189	noise_149198	cue_150171	res_150860
ITI_151425	runS_151962	noise_157978	fp_158567	noise_159554	tpc_160105	noise_161096	cue_162018	res_162698
ITI_163369	runS_164208	head_photo_170215	resh_171835	NA	NA	NA	NA	NA
ITI_172806	runS_173325	noise_179332	fp_180000	noise_180998	tp_181597	noise_182593	cue_183170	res_184020
ITI_184783	runS_185610	noise_191617	fp_192563	noise_193557	tp_194473	noise_195476	cue_196368	res_197381
ITI_198193	runS_199174	noise_205175	fp_205982	noise_206970	tp_207554	noise_208554	cue_209494	res_210262
ITI_210992	runS_211727	noise_217732	fp_218267	noise_219249	tp_220035	noise_221031	cue_221699	res_222773
ITI_223443	runS_224215	noise_230231	fp_231165	noise_232157	tp_232762	noise_233753	cue_234727	res_235512
ITI_236265	runS_237083	noise_243095	fp_243657	noise_244653	tpc_245508	noise_246490	cue_247291	res_248325
ITI_249262	runS_250099	head_photo_256114	resh_257590	NA	NA	NA	NA	NA
ITI_258456	runS_259133	noise_265134	fp_265982	noise_266972	tp_267487	noise_268473	cue_269207	res_269836
ITI_270678	runS_271277	noise_277292	fp_277811	noise_278817	tp_279647	noise_280635	cue_281619	res_282819
ITI_283591	runS_284337	noise_290354	fp_291301	noise_292298	tp_292888	noise_293869	cue_294631	res_295480
ITI_296468	runS_297121	head_photo_303129	resh_303997	NA	NA	NA	NA	NA
ITI_304642	runS_305320	head_photo_311338	resh_312330	NA	NA	NA	NA	NA
ITI_313161	runS_313871	noise_319871	fp_320570	noise_321578	tp_322298	noise_323290	cue_323862	res_324886
ITI_325397	runS_326250	noise_332250	fp_332927	noise_333914	tpc_334559	noise_335557	cue_336131	res_337337
ITI_338008	runS_338627	noise_344635	fp_345178	noise_346173	tp_347082	noise_348074	cue_348612	res_349264
ITI_349796	runS_350658	head_photo_356676	resh_357967	NA	NA	NA	NA	NA
ITI_358769	runS_359528	noise_365537	fp_366245	noise_367235	tpc_367788	noise_368771	cue_369440	res_370228
ITI_370893	runS_371756	noise_377777	fp_378308	noise_379298	tpc_380153	noise_381152	cue_382133	res_382827
ITI_383407	runS_384069	noise_390071	fpc_390602	noise_391600	tpc_392166	noise_393160	cue_394017	res_394626
ITI_395206	runS_395900	noise_401918	fp_402639	noise_403636	tp_404583	noise_405577	cue_406519	res_407290
ITI_408077	runS_409033	noise_415034	fp_415867	noise_416852	tp_417413	noise_418414	cue_418996	res_419865
ITI_420431	runS_421012	noise_427013	fp_427711	noise_428711	tpc_429293	noise_430298	cue_431015	res_431781
ITI_432490	runS_433428	noise_439429	fpc_440217	noise_441210	tpc_441785	noise_442770	cue_443736	res_444498
ITI_445004	runS_445840	noise_451857	fp_452573	noise_453572	tpc_454125	noise_455109	cue_455713	res_456385
ITI_457352	runS_457943	noise_463953	fp_464721	noise_465712	tp_466246	noise_467230	cue_467842	res_468678
