ITI_4	runS_964	noise_6939	fpc_7497	noise_8500	tpc_9454	noise_10436	cue_11213	res_12309
ITI_13224	runS_13813	noise_19823	fp_20394	noise_21375	tp_22306	noise_23301	cue_23988	res_24933
ITI_25837	runS_27099	noise_33114	fp_33908	noise_34911	tp_35904	noise_36888	cue_37813	res_38780
ITI_39493	runS_41085	noise_47093	fpc_47995	noise_48995	tpc_49882	noise_50874	cue_51838	res_52565
ITI_53418	runS_54844	head_photo_60868	resh_62183	NA	NA	NA	NA	NA
ITI_63152	runS_64498	noise_70505	fp_71163	noise_72158	tp_72839	noise_73838	cue_74742	res_75545
ITI_76441	runS_78062	noise_84078	fp_85047	noise_86030	tpc_86760	noise_87759	cue_88303	res_89192
ITI_89884	runS_91092	head_photo_97098	resh_98515	NA	NA	NA	NA	NA
ITI_99118	runS_100300	head_photo_106305	resh_107076	NA	NA	NA	NA	NA
ITI_107998	runS_109282	noise_115297	fp_116132	noise_117115	tp_117684	noise_118683	cue_119194	res_120819
ITI_121558	runS_122812	head_photo_128815	resh_130115	NA	NA	NA	NA	NA
ITI_130652	runS_132042	noise_138050	fp_138601	noise_139592	tp_140535	noise_141525	cue_142163	res_142939
ITI_143879	runS_145297	noise_151303	fpc_151958	noise_152963	tpc_153683	noise_154683	cue_155304	res_156059
ITI_156689	runS_158207	noise_164217	fp_164753	noise_165761	tp_166383	noise_167376	cue_168019	res_169688
ITI_170584	runS_172221	noise_178235	fp_178884	noise_179868	tpc_180452	noise_181448	cue_182434	res_183265
ITI_184004	runS_185187	noise_191192	fp_192175	noise_193168	tp_193834	noise_194826	cue_195719	res_196692
ITI_197485	runS_198957	noise_204966	fp_205732	noise_206719	tpc_207573	noise_208563	cue_209502	res_210270
ITI_211261	runS_212687	noise_218699	fp_219405	noise_220392	tp_221262	noise_222259	cue_223000	res_223842
ITI_224798	runS_226408	noise_232411	fp_233155	noise_234152	tpc_235043	noise_236032	cue_236834	res_237857
ITI_238640	runS_239922	noise_245923	fpc_246746	noise_247738	tpc_248464	noise_249459	cue_250034	res_250851
ITI_251522	runS_253022	head_photo_259038	resh_260260	NA	NA	NA	NA	NA
ITI_261013	runS_262603	noise_268611	fp_269206	noise_270208	tp_271110	noise_272110	cue_273097	res_273971
ITI_274774	runS_276010	noise_282027	fpc_283027	noise_284023	tpc_284929	noise_285921	cue_286439	res_287508
ITI_288326	runS_289652	noise_295663	fp_296443	noise_297438	tp_298416	noise_299423	cue_300358	res_301898
ITI_302595	runS_304011	noise_310010	fp_310711	noise_311713	tp_312445	noise_313436	cue_314228	res_315270
ITI_316108	runS_317664	noise_323667	fp_324410	noise_325404	tp_325936	noise_326927	cue_327518	res_329071
ITI_329758	runS_331370	noise_337378	fpc_338359	noise_339361	tpc_339918	noise_340920	cue_341735	res_342786
ITI_343497	runS_345062	noise_351075	fp_351638	noise_352632	tp_353270	noise_354252	cue_354942	res_355843
ITI_356377	runS_357842	noise_363847	fp_364354	noise_365352	tp_366226	noise_367232	cue_367959	res_369005
ITI_369763	runS_371327	noise_377339	fp_378241	noise_379247	tp_379980	noise_380979	cue_381916	res_382721
ITI_383672	runS_385328	noise_391336	fp_391957	noise_392960	tp_393792	noise_394774	cue_395556	res_396379
ITI_396916	runS_398388	noise_404388	fp_405296	noise_406289	tp_406981	noise_407972	cue_408555	res_409974
ITI_410867	runS_412351	noise_418361	fp_418886	noise_419888	tpc_420815	noise_421806	cue_422407	res_423165
ITI_423723	runS_424978	noise_430983	fp_431971	noise_432961	tp_433465	noise_434455	cue_435281	res_436045
ITI_436995	runS_438606	noise_444610	fp_445376	noise_446376	tp_447264	noise_448255	cue_449203	res_450291
ITI_450801	runS_452383	noise_458390	fp_459080	noise_460068	tpc_460685	noise_461690	cue_462355	res_463184
ITI_463804	runS_465058	noise_471059	fp_471904	noise_472904	tp_473540	noise_474544	cue_475409	res_476393
ITI_477017	runS_478208	noise_484217	fp_484825	noise_485819	tp_486804	noise_487798	cue_488383	res_490007
ITI_490568	runS_492106	noise_498109	fpc_498749	noise_499750	tpc_500413	noise_501415	cue_501968	res_502759
ITI_503269	runS_504841	noise_510840	fp_511595	noise_512583	tp_513288	noise_514283	cue_515018	res_516708
ITI_517267	runS_518612	noise_524616	fp_525125	noise_526120	tp_526813	noise_527795	cue_528331	res_529108
ITI_529730	runS_531104	noise_537109	fp_538019	noise_539010	tpc_539790	noise_540796	cue_541350	res_542509
ITI_543329	runS_544703	noise_550709	fp_551420	noise_552404	tp_553276	noise_554267	cue_554966	res_555968
ITI_556965	runS_558624	head_photo_564642	resh_565907	NA	NA	NA	NA	NA
ITI_566662	runS_567907	head_photo_573914	resh_574797	NA	NA	NA	NA	NA
ITI_575398	runS_576698	noise_582707	fp_583418	noise_584414	tpc_585322	noise_586313	cue_587114	res_587948
ITI_588585	runS_590095	head_photo_596103	resh_597741	NA	NA	NA	NA	NA
ITI_598583	runS_600102	noise_606113	fp_606908	noise_607900	tp_608695	noise_609698	cue_610626	res_611583
ITI_612285	runS_613731	head_photo_619730	resh_620733	NA	NA	NA	NA	NA
ITI_621532	runS_623077	noise_629084	fp_629946	noise_630944	tp_631906	noise_632907	cue_633770	res_634885
ITI_635528	runS_636791	noise_642799	fp_643463	noise_644456	tp_645451	noise_646445	cue_647056	res_647776
ITI_648438	runS_649883	noise_655895	fpc_656692	noise_657701	tpc_658485	noise_659475	cue_660333	res_661154
ITI_662075	runS_663301	noise_669313	fp_670071	noise_671066	tpc_671982	noise_672971	cue_673742	res_674583
ITI_675363	runS_676974	noise_682986	fpc_683544	noise_684547	tpc_685535	noise_686522	cue_687097	res_688103
