ITI_2	runS_722	noise_6705	fp_7585	noise_8577	tp_9323	noise_10320	cue_10992	res_13456
ITI_13992	runS_14899	noise_20901	fpc_21447	noise_22442	tpc_23008	noise_23996	cue_24775	res_25997
ITI_26759	runS_27748	noise_33756	fpc_34641	noise_35637	tpc_36467	noise_37457	cue_38411	res_39526
ITI_40177	runS_41132	head_photo_47140	resh_48564	NA	NA	NA	NA	NA
ITI_49269	runS_50246	noise_56263	fp_57005	noise_57996	tp_58790	noise_59779	cue_60631	res_61603
ITI_62467	runS_63315	noise_69314	fp_70315	noise_71315	tp_72196	noise_73204	cue_74092	res_76001
ITI_76764	runS_77572	noise_83578	fp_84181	noise_85179	tpc_86123	noise_87120	cue_87751	res_88930
ITI_89816	runS_90487	noise_96496	fp_97478	noise_98480	tpc_99321	noise_100319	cue_100881	res_101791
ITI_102582	runS_103153	head_photo_109161	resh_110664	NA	NA	NA	NA	NA
ITI_111352	runS_112075	head_photo_118079	resh_120183	NA	NA	NA	NA	NA
ITI_120887	runS_121765	noise_127785	fpc_128662	noise_129661	tpc_130296	noise_131298	cue_132030	res_133068
ITI_133898	runS_134764	noise_140779	fp_141331	noise_142315	tp_143043	noise_144041	cue_145029	res_146171
ITI_146965	runS_147963	head_photo_153984	resh_155242	NA	NA	NA	NA	NA
ITI_156164	runS_156872	noise_162878	fp_163412	noise_164399	tp_165301	noise_166295	cue_167011	res_167884
ITI_168533	runS_169110	noise_175116	fp_175631	noise_176615	tp_177477	noise_178479	cue_179213	res_180169
ITI_181040	runS_181869	head_photo_187879	resh_189032	NA	NA	NA	NA	NA
ITI_189657	runS_190273	head_photo_196280	resh_197678	NA	NA	NA	NA	NA
ITI_198236	runS_198834	noise_204838	fp_205348	noise_206341	tp_207221	noise_208221	cue_208875	res_210000
ITI_210925	runS_211850	noise_217855	fp_218400	noise_219402	tp_220058	noise_221060	cue_221765	res_222673
ITI_223365	runS_224109	head_photo_230122	resh_231774	NA	NA	NA	NA	NA
ITI_232341	runS_232989	noise_239002	fpc_239596	noise_240595	tpc_241555	noise_242559	cue_243402	res_244299
ITI_244866	runS_245532	noise_251543	fp_252318	noise_253316	tpc_254183	noise_255177	cue_256057	res_256887
ITI_257876	runS_258830	noise_264841	fpc_265434	noise_266444	tpc_267288	noise_268278	cue_269233	res_269983
ITI_270843	runS_271477	noise_277474	fp_278122	noise_279115	tp_279853	noise_280834	cue_281690	res_282429
ITI_283344	runS_284064	head_photo_290077	resh_291602	NA	NA	NA	NA	NA
ITI_292226	runS_292927	noise_298937	fp_299676	noise_300678	tp_301258	noise_302260	cue_303164	res_304243
ITI_304765	runS_305569	noise_311576	fp_312204	noise_313201	tp_313865	noise_314854	cue_315356	res_316252
ITI_317239	runS_318048	noise_324062	fp_324863	noise_325854	tp_326489	noise_327481	cue_328419	res_329118
ITI_330099	runS_331036	noise_337041	fp_337595	noise_338601	tp_339137	noise_340141	cue_341138	res_342061
ITI_342722	runS_343396	noise_349398	fp_350061	noise_351056	tpc_351644	noise_352642	cue_353327	res_354236
ITI_355162	runS_355996	noise_361998	fpc_362532	noise_363518	tpc_364489	noise_365474	cue_366038	res_366747
ITI_367425	runS_368117	noise_374124	fpc_374730	noise_375720	tpc_376393	noise_377384	cue_378119	res_378774
ITI_379723	runS_380303	noise_386320	fp_387229	noise_388216	tp_388797	noise_389800	cue_390581	res_391389
ITI_391985	runS_392787	noise_398796	fp_399670	noise_400657	tp_401559	noise_402560	cue_403091	res_404275
ITI_404855	runS_405472	noise_411481	fp_412120	noise_413122	tpc_413826	noise_414822	cue_415770	res_416565
ITI_417256	runS_418003	noise_424018	fp_424859	noise_425861	tp_426458	noise_427460	cue_428342	res_429211
ITI_429789	runS_430644	noise_436657	fp_437317	noise_438318	tpc_439179	noise_440176	cue_440976	res_442027
ITI_442874	runS_443657	noise_449663	fp_450646	noise_451638	tpc_452577	noise_453577	cue_454324	res_455045
ITI_455744	runS_456481	noise_462499	fpc_463293	noise_464284	tpc_465085	noise_466074	cue_466993	res_467752
ITI_468498	runS_469071	noise_475078	fp_475987	noise_476979	tp_477566	noise_478554	cue_479070	res_479787
ITI_480774	runS_481357	noise_487356	fp_488063	noise_489063	tp_489839	noise_490839	cue_491769	res_492434
ITI_493180	runS_493815	head_photo_499816	resh_503784	NA	NA	NA	NA	NA
ITI_504662	runS_505174	noise_511175	fp_511815	noise_512820	tp_513325	noise_514320	cue_514866	res_515379
ITI_516286	runS_516930	noise_522942	fp_523867	noise_524857	tp_525458	noise_526455	cue_527301	res_528310
ITI_529239	runS_530214	noise_536222	fp_536993	noise_537974	tpc_538572	noise_539559	cue_540300	res_541077
ITI_541989	runS_542841	noise_548864	fp_549493	noise_550475	tp_551196	noise_552202	cue_552879	res_553616
ITI_554602	runS_555554	noise_561555	fp_562099	noise_563097	tp_563952	noise_564939	cue_565808	res_566453
ITI_567418	runS_568073	noise_574078	fp_574668	noise_575655	tp_576584	noise_577579	cue_578492	res_579308
ITI_579998	runS_580964	noise_586977	fp_587837	noise_588839	tp_589570	noise_590562	cue_591184	res_592082
ITI_592959	runS_593539	noise_599536	fp_600462	noise_601462	tpc_602177	noise_603175	cue_604049	res_604930
ITI_605544	runS_606153	noise_612154	fp_612868	noise_613857	tp_614691	noise_615681	cue_616397	res_617127
ITI_617966	runS_618546	noise_624563	fpc_625071	noise_626061	tpc_626727	noise_627720	cue_628519	res_629262
ITI_630175	runS_631040	noise_637056	fp_637843	noise_638837	tp_639791	noise_640782	cue_641704	res_642338
ITI_643025	runS_643817	noise_649817	fp_650659	noise_651660	tp_652578	noise_653581	cue_654304	res_654937
