ITI_9	runS_641	noise_6634	fpc_7264	noise_8249	tpc_8968	noise_9975	cue_10866	res_11769
ITI_12645	runS_13217	head_photo_19233	resh_21356	NA	NA	NA	NA	NA
ITI_21899	runS_22580	noise_28587	fp_29360	noise_30352	tp_31087	noise_32069	cue_32897	res_34948
ITI_35695	runS_36301	noise_42310	fp_42906	noise_43913	tp_44910	noise_45914	cue_46670	res_47802
ITI_48314	runS_49142	head_photo_55151	resh_57618	NA	NA	NA	NA	NA
ITI_58537	runS_59346	noise_65347	fp_66008	noise_67009	tp_67888	noise_68888	cue_69694	res_70874
ITI_71795	runS_72750	noise_78751	fp_79484	noise_80473	tp_81308	noise_82309	cue_82953	res_85423
ITI_86265	runS_87075	noise_93090	fp_93593	noise_94590	tp_95171	noise_96171	cue_96827	res_97735
ITI_98425	runS_99115	noise_105132	fpc_106083	noise_107072	tpc_107789	noise_108790	cue_109722	res_111207
ITI_111737	runS_112283	noise_118289	fpc_119047	noise_120054	tpc_120992	noise_121995	cue_122788	res_124253
ITI_124780	runS_125756	noise_131773	fp_132533	noise_133527	tpc_134051	noise_135048	cue_135979	res_137673
ITI_138438	runS_139428	head_photo_145433	resh_146992	NA	NA	NA	NA	NA
ITI_147843	runS_148757	noise_154772	fpc_155466	noise_156472	tpc_157112	noise_158109	cue_158884	res_160089
ITI_160809	runS_161627	noise_167628	fp_168235	noise_169228	tp_169894	noise_170889	cue_171653	res_173190
ITI_174043	runS_174817	noise_180834	fp_181702	noise_182689	tp_183404	noise_184386	cue_185055	res_186238
ITI_186753	runS_187408	noise_193412	fp_194031	noise_195034	tp_195913	noise_196910	cue_197410	res_198590
ITI_199539	runS_200311	noise_206309	fp_206968	noise_207973	tp_208525	noise_209509	cue_210271	res_211984
ITI_212872	runS_213810	noise_219814	fpc_220736	noise_221729	tpc_222404	noise_223390	cue_224276	res_225223
ITI_226208	runS_226996	head_photo_233006	resh_234750	NA	NA	NA	NA	NA
ITI_235386	runS_235880	noise_241893	fp_242559	noise_243547	tpc_244545	noise_245530	cue_246062	res_247451
ITI_248046	runS_248579	noise_254593	fp_255417	noise_256409	tp_256922	noise_257912	cue_258794	res_259927
ITI_260821	runS_261604	noise_267614	fp_268419	noise_269413	tp_270245	noise_271229	cue_271819	res_273485
ITI_274006	runS_274622	noise_280633	fp_281620	noise_282609	tp_283198	noise_284190	cue_285187	res_286323
ITI_286815	runS_287707	noise_293707	fp_294647	noise_295653	tpc_296374	noise_297374	cue_298035	res_299429
ITI_300331	runS_300989	head_photo_306991	resh_308256	NA	NA	NA	NA	NA
ITI_309062	runS_309600	head_photo_315616	resh_317469	NA	NA	NA	NA	NA
ITI_318397	runS_319023	noise_325033	fpc_325648	noise_326650	tpc_327427	noise_328429	cue_329311	res_330293
ITI_330983	runS_331629	noise_337633	fp_338378	noise_339375	tp_340059	noise_341052	cue_341926	res_343335
ITI_343855	runS_344744	noise_350749	fp_351512	noise_352511	tp_353098	noise_354086	cue_354732	res_355724
ITI_356625	runS_357501	noise_363507	fp_364484	noise_365468	tpc_366149	noise_367146	cue_368102	res_369858
ITI_370678	runS_371580	noise_377595	fp_378376	noise_379373	tpc_380236	noise_381227	cue_382224	res_383472
ITI_384043	runS_384607	head_photo_390613	resh_391742	NA	NA	NA	NA	NA
ITI_392276	runS_392835	noise_398849	fp_399654	noise_400654	tpc_401430	noise_402426	cue_403102	res_404368
ITI_405205	runS_405899	noise_411910	fp_412433	noise_413427	tp_414188	noise_415191	cue_415769	res_417083
ITI_417850	runS_418497	noise_424513	fp_425012	noise_426012	tp_426827	noise_427827	cue_428560	res_430011
ITI_430914	runS_431867	noise_437872	fp_438417	noise_439410	tpc_440263	noise_441253	cue_442072	res_443218
ITI_443953	runS_444673	noise_450687	fp_451267	noise_452273	tp_452855	noise_453852	cue_454797	res_455955
ITI_456789	runS_457507	noise_463507	fp_464313	noise_465311	tpc_465948	noise_466946	cue_467940	res_469457
ITI_470078	runS_470668	noise_476671	fp_477666	noise_478667	tp_479582	noise_480571	cue_481331	res_483362
ITI_484031	runS_484751	noise_490747	fp_491455	noise_492452	tp_493135	noise_494135	cue_495074	res_497346
ITI_497933	runS_498606	noise_504612	fpc_505126	noise_506128	tpc_507052	noise_508048	cue_508562	res_509626
ITI_510337	runS_510908	noise_516909	fp_517821	noise_518810	tp_519763	noise_520753	cue_521475	res_523195
ITI_524002	runS_524741	noise_530752	fp_531549	noise_532552	tp_533103	noise_534087	cue_534689	res_537307
ITI_537960	runS_538570	noise_544574	fp_545333	noise_546328	tp_547134	noise_548135	cue_548811	res_549844
ITI_550710	runS_551420	noise_557431	fp_557933	noise_558935	tpc_559471	noise_560468	cue_561055	res_562302
ITI_563104	runS_563705	head_photo_569713	resh_571167	NA	NA	NA	NA	NA
ITI_571825	runS_572679	noise_578690	fp_579424	noise_580409	tp_581261	noise_582253	cue_582881	res_584727
ITI_585333	runS_585860	noise_591869	fpc_592623	noise_593615	tpc_594151	noise_595150	cue_595698	res_596864
ITI_597842	runS_598700	head_photo_604708	resh_606163	NA	NA	NA	NA	NA
ITI_607102	runS_607901	noise_613908	fp_614465	noise_615448	tp_615971	noise_616969	cue_617737	res_618814
ITI_619512	runS_620350	noise_626351	fpc_626895	noise_627894	tpc_628565	noise_629553	cue_630100	res_631794
ITI_632780	runS_633584	noise_639591	fp_640492	noise_641494	tp_642261	noise_643251	cue_643974	res_645554
ITI_646412	runS_646976	noise_652994	fp_653809	noise_654807	tp_655713	noise_656711	cue_657576	res_659626
ITI_660264	runS_660863	noise_666875	fp_667543	noise_668533	tp_669441	noise_670433	cue_671024	res_672008
