ITI_10	runS_911	noise_6890	fp_7517	noise_8508	tp_9381	noise_10368	cue_10905	res_12292
ITI_12850	runS_13696	noise_19710	fp_20295	noise_21288	tpc_21879	noise_22868	cue_23402	res_24657
ITI_25155	runS_25924	head_photo_31929	resh_33056	NA	NA	NA	NA	NA
ITI_34026	runS_34845	noise_40852	fp_41516	noise_42512	tp_43503	noise_44510	cue_45046	res_46183
ITI_46694	runS_47651	noise_53667	fp_54637	noise_55634	tp_56197	noise_57185	cue_57831	res_58691
ITI_59499	runS_60337	head_photo_66345	resh_67250	NA	NA	NA	NA	NA
ITI_68211	runS_69064	noise_75071	fp_75734	noise_76726	tp_77401	noise_78388	cue_78906	res_79913
ITI_80419	runS_81037	head_photo_87049	resh_87876	NA	NA	NA	NA	NA
ITI_88765	runS_89370	noise_95388	fp_96036	noise_97028	tp_97741	noise_98732	cue_99291	res_100199
ITI_100704	runS_101577	head_photo_107587	resh_108648	NA	NA	NA	NA	NA
ITI_109211	runS_110094	noise_116104	fp_117065	noise_118065	tp_118724	noise_119725	cue_120535	res_121737
ITI_122480	runS_123258	noise_129270	fp_129834	noise_130829	tp_131454	noise_132446	cue_133048	res_133908
ITI_134679	runS_135233	noise_141249	fp_141789	noise_142790	tp_143740	noise_144724	cue_145316	res_146196
ITI_147102	runS_147804	noise_153805	fpc_154724	noise_155707	tpc_156394	noise_157387	cue_158277	res_159517
ITI_160196	runS_160877	noise_166895	fp_167478	noise_168468	tp_169217	noise_170208	cue_170732	res_171617
ITI_172364	runS_173054	noise_179063	fpc_179571	noise_180563	tpc_181433	noise_182423	cue_183149	res_184152
ITI_185149	runS_186012	noise_192024	fp_192913	noise_193911	tp_194446	noise_195446	cue_196292	res_197214
ITI_197754	runS_198417	noise_204426	fp_205168	noise_206167	tp_206757	noise_207743	cue_208354	res_209182
ITI_209675	runS_210402	noise_216403	fp_217383	noise_218392	tp_219174	noise_220165	cue_221060	res_222014
ITI_222514	runS_223305	noise_229310	fp_230041	noise_231031	tp_231846	noise_232848	cue_233799	res_235021
ITI_235654	runS_236579	noise_242585	fp_243493	noise_244485	tpc_245258	noise_246250	cue_247231	res_248432
ITI_249176	runS_250093	head_photo_256110	resh_257753	NA	NA	NA	NA	NA
ITI_258443	runS_259380	noise_265391	fp_265901	noise_266889	tp_267466	noise_268466	cue_269116	res_270117
ITI_270942	runS_271471	noise_277489	fp_278057	noise_279047	tp_279973	noise_280963	cue_281556	res_283193
ITI_284108	runS_285081	noise_291092	fp_292072	noise_293067	tp_294042	noise_295024	cue_295761	res_296665
ITI_297354	runS_298098	noise_304110	fp_305086	noise_306091	tp_306972	noise_307964	cue_308549	res_309708
ITI_310538	runS_311474	noise_317489	fp_318159	noise_319148	tpc_319785	noise_320789	cue_321569	res_322701
ITI_323270	runS_324068	noise_330071	fp_330813	noise_331808	tp_332707	noise_333707	cue_334358	res_336192
ITI_337014	runS_337894	head_photo_343903	resh_345086	NA	NA	NA	NA	NA
ITI_345947	runS_346492	noise_352507	fp_353070	noise_354067	tp_354884	noise_355886	cue_356715	res_357616
ITI_358382	runS_358989	noise_365012	fpc_365988	noise_366985	tpc_367804	noise_368811	cue_369412	res_370963
ITI_371962	runS_372781	noise_378784	fpc_379706	noise_380705	tpc_381303	noise_382306	cue_383278	res_384396
ITI_385375	runS_386151	noise_392173	fpc_392991	noise_393984	tpc_394789	noise_395787	cue_396442	res_397779
ITI_398649	runS_399334	noise_405345	fpc_406219	noise_407210	tpc_408001	noise_408987	cue_409507	res_410798
ITI_411627	runS_412599	noise_418605	fp_419442	noise_420430	tpc_421209	noise_422208	cue_423027	res_424187
ITI_424962	runS_425773	head_photo_431788	resh_433177	NA	NA	NA	NA	NA
ITI_433939	runS_434931	head_photo_440951	resh_442741	NA	NA	NA	NA	NA
ITI_443592	runS_444178	noise_450190	fp_450808	noise_451809	tpc_452803	noise_453809	cue_454732	res_455987
ITI_456993	runS_457554	noise_463572	fp_464506	noise_465506	tp_466210	noise_467210	cue_468029	res_469001
ITI_469952	runS_470761	noise_476773	fpc_477524	noise_478525	tpc_479323	noise_480325	cue_480918	res_481994
ITI_482764	runS_483672	noise_489687	fp_490375	noise_491367	tpc_492334	noise_493323	cue_494164	res_495081
ITI_495907	runS_496840	head_photo_502850	resh_504083	NA	NA	NA	NA	NA
ITI_504694	runS_505610	noise_511626	fp_512400	noise_513391	tp_514351	noise_515346	cue_516223	res_517514
ITI_518405	runS_518986	noise_524989	fp_525541	noise_526523	tp_527253	noise_528246	cue_529147	res_530178
ITI_530931	runS_531632	noise_537645	fp_538324	noise_539331	tp_540061	noise_541051	cue_541916	res_542985
ITI_543623	runS_544431	noise_550443	fp_551187	noise_552187	tp_552975	noise_553963	cue_554661	res_555535
ITI_556189	runS_556708	noise_562706	fp_563341	noise_564333	tpc_564909	noise_565906	cue_566537	res_567446
ITI_568094	runS_568863	noise_574869	fp_575763	noise_576772	tp_577304	noise_578307	cue_579302	res_580569
ITI_581243	runS_582048	noise_588045	fpc_588588	noise_589595	tpc_590220	noise_591210	cue_591950	res_592756
ITI_593673	runS_594620	noise_600633	fp_601487	noise_602491	tpc_603146	noise_604144	cue_604980	res_606081
ITI_606846	runS_607690	noise_613714	fp_614496	noise_615489	tp_616459	noise_617451	cue_618176	res_619018
ITI_619943	runS_620800	noise_626808	fpc_627624	noise_628629	tpc_629140	noise_630129	cue_630805	res_632201
ITI_632974	runS_633938	noise_639952	fp_640577	noise_641569	tp_642315	noise_643304	cue_644027	res_645056
ITI_645856	runS_646539	noise_652544	fp_653099	noise_654090	tpc_654838	noise_655824	cue_656658	res_657660
