ITI_2	runS_569	noise_6562	fpc_7422	noise_8428	tpc_8940	noise_9941	cue_10658	res_11841
ITI_12571	runS_13454	noise_19465	fp_20254	noise_21247	tp_21811	noise_22800	cue_23740	res_25167
ITI_26102	runS_26818	noise_32821	fp_33461	noise_34463	tp_35371	noise_36362	cue_36867	res_38459
ITI_39441	runS_40385	noise_46404	fpc_47116	noise_48123	tpc_48727	noise_49722	cue_50569	res_52318
ITI_53012	runS_53711	head_photo_59719	resh_60859	NA	NA	NA	NA	NA
ITI_61838	runS_62650	noise_68663	fpc_69521	noise_70522	tpc_71246	noise_72245	cue_73018	res_74206
ITI_75098	runS_75777	head_photo_81779	resh_83404	NA	NA	NA	NA	NA
ITI_83907	runS_84558	noise_90563	fp_91335	noise_92320	tpc_93146	noise_94145	cue_94869	res_96302
ITI_96995	runS_97571	noise_103584	fp_104248	noise_105237	tp_105920	noise_106921	cue_107770	res_109153
ITI_109818	runS_110561	noise_116564	fp_117262	noise_118263	tp_118877	noise_119883	cue_120683	res_121878
ITI_122549	runS_123212	noise_129227	fp_130143	noise_131149	tp_131873	noise_132862	cue_133799	res_135180
ITI_135912	runS_136411	head_photo_142418	resh_143716	NA	NA	NA	NA	NA
ITI_144528	runS_145244	noise_151257	fp_151940	noise_152944	tp_153492	noise_154479	cue_155414	res_156693
ITI_157436	runS_157999	noise_164001	fpc_164988	noise_165987	tpc_166951	noise_167936	cue_168677	res_169878
ITI_170680	runS_171613	noise_177623	fp_178330	noise_179327	tpc_180145	noise_181142	cue_181690	res_183143
ITI_183841	runS_184791	noise_190804	fpc_191470	noise_192471	tpc_192965	noise_193959	cue_194620	res_195966
ITI_196913	runS_197864	noise_203889	fp_204788	noise_205781	tp_206593	noise_207583	cue_208373	res_209673
ITI_210641	runS_211266	head_photo_217282	resh_218543	NA	NA	NA	NA	NA
ITI_219264	runS_220230	noise_226246	fp_227068	noise_228066	tp_228849	noise_229844	cue_230373	res_232747
ITI_233372	runS_233971	head_photo_239982	resh_241736	NA	NA	NA	NA	NA
ITI_242273	runS_242906	noise_248924	fp_249499	noise_250505	tp_251416	noise_252425	cue_253064	res_254169
