ITI_2	runS_795	noise_6799	fp_7589	noise_8578	tp_9547	noise_10532	cue_11240	res_12007
ITI_12828	runS_13486	noise_19497	fp_20088	noise_21079	tp_21976	noise_22975	cue_23850	res_24674
ITI_25197	runS_25963	noise_31978	fp_32907	noise_33897	tp_34573	noise_35579	cue_36465	res_37139
ITI_38084	runS_38985	noise_44992	fp_45634	noise_46633	tp_47495	noise_48497	cue_49379	res_50161
ITI_50838	runS_51364	noise_57374	fp_58258	noise_59254	tp_59933	noise_60938	cue_61702	res_62512
ITI_63251	runS_63969	noise_69973	fp_70619	noise_71616	tpc_72538	noise_73536	cue_74207	res_74825
ITI_75479	runS_76015	noise_82017	fpc_82791	noise_83780	tpc_84506	noise_85495	cue_86054	res_86629
ITI_87570	runS_88069	noise_94077	fp_95044	noise_96039	tp_96639	noise_97632	cue_98415	res_99024
ITI_99798	runS_100351	noise_106352	fp_107069	noise_108056	tpc_108910	noise_109898	cue_110557	res_111278
ITI_112164	runS_112910	noise_118917	fp_119863	noise_120854	tp_121659	noise_122658	cue_123249	res_124856
ITI_125478	runS_126068	head_photo_132081	resh_133102	NA	NA	NA	NA	NA
ITI_134022	runS_134663	noise_140676	fp_141464	noise_142451	tp_143265	noise_144256	cue_144832	res_145873
ITI_146496	runS_147143	noise_153152	fp_153663	noise_154654	tp_155346	noise_156339	cue_156997	res_157735
ITI_158528	runS_159128	noise_165131	fp_165808	noise_166795	tp_167527	noise_168512	cue_169276	res_170465
ITI_171120	runS_172021	noise_178039	fpc_178621	noise_179612	tpc_180436	noise_181435	cue_182224	res_182854
ITI_183410	runS_183912	noise_189913	fp_190805	noise_191793	tp_192512	noise_193520	cue_194420	res_195859
ITI_196509	runS_197014	head_photo_203015	resh_204566	NA	NA	NA	NA	NA
ITI_205389	runS_206378	head_photo_212395	resh_213193	NA	NA	NA	NA	NA
ITI_213912	runS_214600	noise_220615	fp_221544	noise_222532	tp_223288	noise_224272	cue_225153	res_225776
ITI_226426	runS_227383	noise_233399	fp_234190	noise_235177	tp_235746	noise_236737	cue_237615	res_238728
ITI_239555	runS_240171	noise_246173	fp_246916	noise_247914	tp_248852	noise_249852	cue_250595	res_252068
ITI_252702	runS_253246	noise_259259	fp_259865	noise_260853	tpc_261694	noise_262695	cue_263629	res_264273
ITI_265208	runS_266191	noise_272200	fp_273086	noise_274075	tp_274739	noise_275737	cue_276423	res_277152
ITI_277760	runS_278530	noise_284530	fpc_285352	noise_286355	tpc_287133	noise_288139	cue_289006	res_290005
ITI_290696	runS_291412	noise_297413	fp_298315	noise_299319	tp_299978	noise_300971	cue_301489	res_302982
ITI_303618	runS_304574	noise_310575	fp_311287	noise_312277	tp_312986	noise_313978	cue_314666	res_316429
ITI_317280	runS_317853	noise_323860	fp_324455	noise_325454	tpc_326097	noise_327093	cue_327824	res_328865
ITI_329617	runS_330263	noise_336274	fpc_337268	noise_338259	tpc_338964	noise_339951	cue_340608	res_341313
