ITI_2	runS_680	noise_6660	fp_7617	noise_8601	tp_9195	noise_10182	cue_11085	res_12393
ITI_13051	runS_13973	noise_19982	fpc_20931	noise_21920	tpc_22637	noise_23626	cue_24608	res_25513
ITI_26108	runS_27006	head_photo_33023	resh_34418	NA	NA	NA	NA	NA
ITI_35048	runS_35747	noise_41762	fp_42445	noise_43441	tp_44333	noise_45323	cue_46074	res_47212
ITI_47816	runS_48416	noise_54425	fpc_55412	noise_56408	tpc_57201	noise_58201	cue_58972	res_60208
ITI_61027	runS_61645	noise_67661	fpc_68512	noise_69499	tpc_70486	noise_71483	cue_72225	res_73430
ITI_74333	runS_74959	head_photo_80967	resh_82731	NA	NA	NA	NA	NA
ITI_83483	runS_84479	noise_90483	fp_91477	noise_92460	tp_93282	noise_94278	cue_94802	res_95841
ITI_96849	runS_97510	noise_103519	fp_104351	noise_105341	tpc_105884	noise_106882	cue_107550	res_108576
ITI_109350	runS_110141	head_photo_116145	resh_117415	NA	NA	NA	NA	NA
ITI_118149	runS_118903	noise_124901	fp_125887	noise_126887	tpc_127579	noise_128582	cue_129427	res_130362
ITI_131021	runS_131794	noise_137803	fp_138772	noise_139759	tp_140300	noise_141300	cue_142095	res_143830
ITI_144339	runS_145266	noise_151287	fpc_152160	noise_153162	tpc_154023	noise_155023	cue_155853	res_156989
ITI_157928	runS_158551	head_photo_164563	resh_165864	NA	NA	NA	NA	NA
ITI_166657	runS_167534	head_photo_173542	resh_174767	NA	NA	NA	NA	NA
ITI_175583	runS_176200	noise_182201	fp_182855	noise_183839	tpc_184446	noise_185444	cue_186241	res_187424
ITI_188160	runS_188895	noise_194899	fp_195855	noise_196845	tp_197471	noise_198459	cue_199068	res_200080
ITI_201070	runS_201604	noise_207605	fp_208143	noise_209140	tp_209824	noise_210824	cue_211512	res_212602
ITI_213281	runS_213947	noise_219965	fp_220827	noise_221823	tp_222488	noise_223487	cue_224136	res_225584
ITI_226524	runS_227269	noise_233286	fp_234085	noise_235079	tp_235903	noise_236906	cue_237750	res_239244
ITI_240070	runS_240606	noise_246620	fp_247464	noise_248461	tp_249143	noise_250141	cue_251057	res_252121
ITI_252951	runS_253832	noise_259845	fpc_260539	noise_261541	tpc_262123	noise_263126	cue_263771	res_264721
ITI_265488	runS_266134	noise_272142	fpc_272915	noise_273908	tpc_274747	noise_275745	cue_276624	res_277561
ITI_278138	runS_278719	noise_284726	fp_285527	noise_286520	tpc_287047	noise_288046	cue_288798	res_290257
ITI_291219	runS_292092	noise_298103	fpc_298710	noise_299701	tpc_300648	noise_301647	cue_302549	res_303784
ITI_304439	runS_305371	noise_311383	fp_311970	noise_312963	tp_313902	noise_314898	cue_315622	res_317360
ITI_318171	runS_319063	noise_325063	fp_326013	noise_327001	tpc_327526	noise_328525	cue_329037	res_329967
ITI_330792	runS_331702	noise_337703	fp_338493	noise_339483	tp_340434	noise_341424	cue_342330	res_343491
ITI_344083	runS_344838	noise_350844	fp_351733	noise_352719	tpc_353509	noise_354500	cue_355309	res_356278
ITI_357128	runS_358076	noise_364087	fp_364756	noise_365740	tpc_366270	noise_367266	cue_368065	res_369074
ITI_369855	runS_370382	noise_376380	fp_377261	noise_378261	tp_379009	noise_380002	cue_380697	res_382592
ITI_383459	runS_384243	noise_390243	fp_391053	noise_392040	tp_392930	noise_393922	cue_394788	res_396046
ITI_396566	runS_397264	noise_403278	fp_403923	noise_404926	tp_405686	noise_406681	cue_407255	res_408336
ITI_409141	runS_410105	noise_416120	fp_416868	noise_417866	tpc_418588	noise_419583	cue_420119	res_421091
ITI_421735	runS_422562	noise_428562	fp_429220	noise_430223	tp_430928	noise_431922	cue_432506	res_433512
ITI_434221	runS_435012	noise_441025	fp_441568	noise_442567	tp_443232	noise_444226	cue_445075	res_446668
ITI_447567	runS_448267	noise_454283	fp_454812	noise_455805	tp_456357	noise_457342	cue_458337	res_459531
ITI_460361	runS_460868	noise_466881	fpc_467756	noise_468745	tpc_469349	noise_470338	cue_471059	res_472183
ITI_473034	runS_474019	noise_480024	fp_480831	noise_481821	tp_482665	noise_483665	cue_484605	res_485701
ITI_486313	runS_486913	noise_492920	fp_493769	noise_494766	tp_495293	noise_496285	cue_496882	res_498624
ITI_499438	runS_500383	head_photo_506380	resh_510313	NA	NA	NA	NA	NA
ITI_510833	runS_511751	noise_517759	fp_518270	noise_519266	tp_519902	noise_520906	cue_521573	res_522958
ITI_523471	runS_524033	noise_530041	fp_530786	noise_531780	tp_532283	noise_533286	cue_533793	res_534719
ITI_535560	runS_536185	noise_542179	fp_543173	noise_544168	tp_545088	noise_546080	cue_546741	res_547774
ITI_548484	runS_549181	noise_555183	fp_555822	noise_556822	tp_557417	noise_558405	cue_559285	res_560841
ITI_561716	runS_562398	head_photo_568403	resh_570019	NA	NA	NA	NA	NA
