ITI_3	runS_601	noise_6581	fpc_7157	noise_8147	tpc_8812	noise_9803	cue_10615	res_12835
ITI_13837	runS_14764	head_photo_20783	resh_22245	NA	NA	NA	NA	NA
ITI_23133	runS_23843	noise_29865	fp_30398	noise_31386	tp_32037	noise_33021	cue_33951	res_34971
ITI_35475	runS_36276	noise_42285	fp_42881	noise_43881	tp_44758	noise_45756	cue_46702	res_48544
ITI_49146	runS_49691	head_photo_55698	resh_57127	NA	NA	NA	NA	NA
ITI_57666	runS_58547	noise_64561	fp_65504	noise_66497	tpc_67067	noise_68057	cue_68734	res_69974
ITI_70729	runS_71311	noise_77319	fpc_78035	noise_79023	tpc_79951	noise_80936	cue_81803	res_82899
ITI_83529	runS_84091	noise_90103	fp_90664	noise_91657	tp_92170	noise_93162	cue_94082	res_95001
ITI_95727	runS_96417	noise_102418	fpc_102991	noise_103977	tpc_104602	noise_105596	cue_106206	res_107676
ITI_108307	runS_108859	head_photo_114860	resh_116441	NA	NA	NA	NA	NA
ITI_117254	runS_117859	noise_123857	fp_124520	noise_125522	tp_126075	noise_127056	cue_127965	res_128995
ITI_129954	runS_130885	noise_136902	fp_137851	noise_138844	tp_139470	noise_140456	cue_141056	res_142305
ITI_142851	runS_143360	noise_149360	fp_149972	noise_150963	tp_151482	noise_152484	cue_153312	res_154347
ITI_155056	runS_155555	head_photo_161561	resh_162977	NA	NA	NA	NA	NA
ITI_163800	runS_164340	noise_170344	fp_171330	noise_172321	tp_173209	noise_174202	cue_175093	res_176069
ITI_176779	runS_177339	noise_183338	fpc_184321	noise_185322	tpc_186163	noise_187158	cue_188090	res_188996
ITI_189574	runS_190450	noise_196459	fp_197317	noise_198320	tpc_199052	noise_200039	cue_200589	res_201742
ITI_202645	runS_203271	noise_209282	fpc_209789	noise_210784	tpc_211294	noise_212277	cue_213060	res_213979
ITI_214888	runS_215835	noise_221843	fp_222579	noise_223584	tp_224312	noise_225305	cue_225935	res_226997
ITI_227864	runS_228547	noise_234562	fp_235497	noise_236505	tp_237090	noise_238078	cue_239052	res_240562
ITI_241294	runS_242232	head_photo_248246	resh_249679	NA	NA	NA	NA	NA
ITI_250401	runS_251017	noise_257024	fp_257878	noise_258879	tp_259831	noise_260816	cue_261448	res_262381
ITI_263185	runS_264012	noise_270025	fp_270832	noise_271824	tpc_272573	noise_273561	cue_274465	res_275391
ITI_276047	runS_276706	head_photo_282720	resh_284177	NA	NA	NA	NA	NA
ITI_285110	runS_285687	noise_291698	fp_292581	noise_293581	tpc_294181	noise_295182	cue_296061	res_296885
ITI_297604	runS_298259	noise_304257	fp_304886	noise_305879	tp_306386	noise_307385	cue_308082	res_308931
ITI_309640	runS_310220	head_photo_316223	resh_321234	NA	NA	NA	NA	NA
ITI_322182	runS_322725	noise_328740	fp_329520	noise_330518	tp_331088	noise_332083	cue_332837	res_334106
ITI_335042	runS_335870	noise_341880	fp_342786	noise_343780	tp_344512	noise_345504	cue_346077	res_347690
ITI_348567	runS_349507	noise_355518	fp_356376	noise_357383	tp_358171	noise_359164	cue_359859	res_360963
ITI_361857	runS_362794	noise_368802	fp_369618	noise_370621	tpc_371512	noise_372501	cue_373283	res_374250
ITI_374904	runS_375871	noise_381884	fp_382813	noise_383802	tp_384671	noise_385661	cue_386217	res_387114
ITI_387997	runS_388923	noise_394944	fp_395889	noise_396878	tpc_397498	noise_398501	cue_399253	res_400200
ITI_400973	runS_401929	noise_407940	fp_408830	noise_409817	tp_410539	noise_411541	cue_412322	res_413287
ITI_414082	runS_414837	noise_420844	fp_421633	noise_422622	tp_423341	noise_424339	cue_424928	res_427242
ITI_427762	runS_428469	noise_434485	fp_435343	noise_436342	tp_436999	noise_438003	cue_438598	res_439499
ITI_440397	runS_441023	noise_447041	fp_447684	noise_448682	tp_449608	noise_450600	cue_451221	res_452081
ITI_452805	runS_453800	noise_459803	fpc_460755	noise_461747	tpc_462360	noise_463359	cue_464217	res_465498
ITI_466093	runS_466861	noise_472860	fp_473557	noise_474563	tp_475563	noise_476564	cue_477457	res_478673
ITI_479187	runS_480104	noise_486118	fpc_486689	noise_487684	tpc_488577	noise_489582	cue_490282	res_491084
ITI_491803	runS_492684	noise_498703	fp_499391	noise_500378	tp_501239	noise_502242	cue_502957	res_504112
ITI_504680	runS_505316	noise_511322	fp_512001	noise_513001	tp_513825	noise_514819	cue_515610	res_518902
ITI_519827	runS_520699	head_photo_526699	resh_529198	NA	NA	NA	NA	NA
ITI_529907	runS_530656	noise_536665	fp_537482	noise_538478	tp_539426	noise_540416	cue_541311	res_543357
ITI_544317	runS_545053	head_photo_551059	resh_551978	NA	NA	NA	NA	NA
ITI_552947	runS_553942	noise_559939	fp_560597	noise_561597	tpc_562108	noise_563103	cue_564022	res_564883
ITI_565729	runS_566337	noise_572340	fp_572901	noise_573900	tp_574719	noise_575723	cue_576449	res_578035
ITI_579021	runS_579901	noise_585901	fpc_586461	noise_587458	tpc_588384	noise_589378	cue_590055	res_591001
ITI_591944	runS_592479	noise_598479	fp_599269	noise_600263	tp_601143	noise_602136	cue_603121	res_603928
ITI_604683	runS_605502	noise_611521	fpc_612082	noise_613084	tpc_613740	noise_614738	cue_615611	res_616408
ITI_616915	runS_617797	noise_623797	fp_624583	noise_625577	tp_626189	noise_627180	cue_627822	res_630315
ITI_630820	runS_631794	noise_637801	fp_638526	noise_639525	tpc_640032	noise_641018	cue_641613	res_642603
ITI_643442	runS_644177	noise_650181	fp_651014	noise_652002	tpc_652883	noise_653880	cue_654641	res_655473
ITI_656432	runS_657077	noise_663079	fp_663932	noise_664923	tp_665729	noise_666718	cue_667323	res_669392
