ITI_10	runS_650	noise_6618	fpc_7248	noise_8243	tpc_9019	noise_10025	cue_10882	res_12030
ITI_12994	runS_13649	noise_19657	fp_20211	noise_21196	tp_21886	noise_22880	cue_23590	res_24700
ITI_25421	runS_26038	noise_32042	fpc_33020	noise_34025	tpc_34806	noise_35799	cue_36746	res_37736
ITI_38524	runS_39169	noise_45183	fp_46052	noise_47038	tp_47609	noise_48601	cue_49553	res_52235
ITI_52786	runS_53513	head_photo_59526	resh_61004	NA	NA	NA	NA	NA
ITI_61986	runS_62891	noise_68899	fp_69789	noise_70781	tpc_71757	noise_72764	cue_73356	res_74570
ITI_75498	runS_76141	noise_82160	fpc_82964	noise_83964	tpc_84559	noise_85559	cue_86201	res_87067
ITI_87958	runS_88940	head_photo_94939	resh_96399	NA	NA	NA	NA	NA
ITI_97054	runS_97760	noise_103761	fp_104597	noise_105600	tp_106594	noise_107580	cue_108567	res_109791
ITI_110640	runS_111415	noise_117423	fpc_118293	noise_119277	tpc_120108	noise_121101	cue_121862	res_122738
ITI_123355	runS_124335	head_photo_130342	resh_132400	NA	NA	NA	NA	NA
ITI_133182	runS_134108	noise_140124	fp_140763	noise_141763	tp_142659	noise_143657	cue_144503	res_145560
ITI_146140	runS_146809	noise_152824	fp_153442	noise_154444	tp_155238	noise_156240	cue_157047	res_159260
ITI_160078	runS_161015	noise_167015	fp_167535	noise_168541	tp_169262	noise_170256	cue_170989	res_172107
ITI_172701	runS_173485	head_photo_179501	resh_180481	NA	NA	NA	NA	NA
ITI_181026	runS_181859	head_photo_187857	resh_188903	NA	NA	NA	NA	NA
ITI_189728	runS_190627	noise_196643	fp_197624	noise_198616	tp_199584	noise_200575	cue_201336	res_202494
ITI_203144	runS_203972	noise_209983	fp_210585	noise_211576	tp_212501	noise_213500	cue_214446	res_215456
ITI_216360	runS_217168	noise_223175	fp_223944	noise_224939	tp_225935	noise_226937	cue_227725	res_229413
ITI_229932	runS_230495	noise_236497	fp_237171	noise_238156	tp_239079	noise_240077	cue_240690	res_241802
ITI_242446	runS_243328	noise_249336	fpc_250282	noise_251284	tpc_251823	noise_252815	cue_253786	res_254938
ITI_255655	runS_256512	noise_262520	fp_263364	noise_264361	tp_264858	noise_265863	cue_266561	res_269053
ITI_269586	runS_270242	noise_276260	fp_276901	noise_277899	tpc_278731	noise_279720	cue_280715	res_281649
ITI_282285	runS_282893	noise_288898	fp_289555	noise_290557	tp_291107	noise_292099	cue_292671	res_293682
ITI_294519	runS_295300	head_photo_301301	resh_303701	NA	NA	NA	NA	NA
ITI_304519	runS_305106	noise_311123	fp_311813	noise_312800	tp_313746	noise_314738	cue_315642	res_316674
ITI_317617	runS_318592	noise_324604	fp_325231	noise_326215	tp_326817	noise_327819	cue_328423	res_329593
ITI_330147	runS_330728	noise_336742	fp_337633	noise_338617	tp_339488	noise_340481	cue_341016	res_342465
ITI_343136	runS_343980	noise_349980	fp_350672	noise_351659	tp_352230	noise_353221	cue_354059	res_355111
ITI_355829	runS_356668	noise_362683	fp_363603	noise_364599	tp_365161	noise_366157	cue_366731	res_368175
ITI_368953	runS_369789	noise_375798	fp_376569	noise_377560	tp_378383	noise_379381	cue_380048	res_381301
ITI_382047	runS_382807	noise_388818	fp_389363	noise_390361	tp_391119	noise_392117	cue_393085	res_394013
ITI_394975	runS_395933	head_photo_401939	resh_403016	NA	NA	NA	NA	NA
ITI_403747	runS_404380	noise_410382	fp_410919	noise_411917	tp_412749	noise_413738	cue_414343	res_415259
ITI_416207	runS_417163	noise_423180	fp_423785	noise_424780	tp_425540	noise_426539	cue_427421	res_428441
ITI_429355	runS_430191	noise_436200	fpc_437091	noise_438080	tpc_438849	noise_439843	cue_440471	res_441651
ITI_442148	runS_442738	noise_448740	fp_449513	noise_450500	tp_451362	noise_452359	cue_453128	res_454597
ITI_455340	runS_456221	noise_462223	fpc_463051	noise_464039	tpc_464967	noise_465962	cue_466696	res_468117
ITI_468784	runS_469675	noise_475677	fpc_476481	noise_477483	tpc_477993	noise_478979	cue_479921	res_481016
ITI_481576	runS_482340	noise_488338	fp_489083	noise_490077	tpc_490819	noise_491817	cue_492412	res_494220
ITI_495028	runS_495976	noise_501979	fp_502908	noise_503903	tp_504519	noise_505520	cue_506036	res_507494
ITI_508428	runS_509257	head_photo_515262	resh_516215	NA	NA	NA	NA	NA
ITI_517085	runS_517676	noise_523675	fp_524380	noise_525380	tp_525953	noise_526935	cue_527761	res_529163
ITI_530086	runS_530837	noise_536838	fp_537577	noise_538582	tp_539165	noise_540158	cue_540909	res_542616
ITI_543156	runS_543830	noise_549841	fp_550563	noise_551557	tpc_552540	noise_553536	cue_554175	res_555544
ITI_556373	runS_557136	noise_563139	fp_563765	noise_564759	tpc_565362	noise_566363	cue_566914	res_568029
ITI_568565	runS_569109	noise_575119	fp_575991	noise_576984	tpc_577716	noise_578723	cue_579540	res_580394
ITI_581112	runS_582010	noise_588020	fp_588739	noise_589738	tpc_590627	noise_591621	cue_592346	res_594750
ITI_595691	runS_596517	head_photo_602521	resh_604135	NA	NA	NA	NA	NA
ITI_604909	runS_605537	noise_611542	fp_612308	noise_613303	tpc_614007	noise_614997	cue_615556	res_616643
ITI_617158	runS_617893	noise_623895	fp_624778	noise_625784	tpc_626288	noise_627276	cue_627775	res_628780
ITI_629291	runS_630237	noise_636240	fp_637069	noise_638056	tp_638993	noise_639975	cue_640963	res_641909
ITI_642638	runS_643356	noise_649355	fp_650069	noise_651061	tp_651940	noise_652942	cue_653797	res_655530
ITI_656275	runS_657140	noise_663143	fpc_663780	noise_664776	tpc_665306	noise_666297	cue_667127	res_668293
