ITI_2	runS_671	noise_6668	fp_7193	noise_8189	tpc_8994	noise_9983	cue_10533	res_11982
ITI_12562	runS_13364	head_photo_19370	resh_22683	NA	NA	NA	NA	NA
ITI_23259	runS_23975	noise_29987	fp_30552	noise_31546	tp_32108	noise_33100	cue_33611	res_35287
ITI_36208	runS_36760	noise_42761	fp_43651	noise_44642	tp_45501	noise_46509	cue_47494	res_49261
ITI_49811	runS_50463	noise_56461	fp_57364	noise_58367	tp_59227	noise_60225	cue_60836	res_62537
ITI_63153	runS_64045	noise_70043	fp_70596	noise_71583	tp_72153	noise_73145	cue_73861	res_75340
ITI_76086	runS_76794	noise_82808	fpc_83554	noise_84543	tpc_85163	noise_86165	cue_87069	res_88390
ITI_89276	runS_89933	noise_95940	fp_96763	noise_97765	tp_98582	noise_99580	cue_100529	res_101821
ITI_102380	runS_103071	noise_109082	fp_109970	noise_110964	tp_111798	noise_112783	cue_113342	res_115050
ITI_115987	runS_116503	noise_122503	fp_123049	noise_124041	tp_124743	noise_125744	cue_126636	res_127953
ITI_128453	runS_129025	noise_135028	fp_135668	noise_136663	tp_137195	noise_138186	cue_138712	res_140524
ITI_141036	runS_141829	noise_147843	fp_148643	noise_149640	tp_150636	noise_151626	cue_152190	res_154085
ITI_154912	runS_155884	noise_161884	fp_162458	noise_163444	tp_164376	noise_165364	cue_166039	res_168165
ITI_168685	runS_169541	noise_175540	fp_176157	noise_177148	tp_178081	noise_179087	cue_179658	res_181407
ITI_182094	runS_182924	noise_188927	fpc_189793	noise_190783	tpc_191683	noise_192689	cue_193597	res_195118
ITI_196043	runS_196547	noise_202563	fpc_203427	noise_204427	tpc_205071	noise_206061	cue_206739	res_208653
ITI_209450	runS_210382	noise_216385	fp_216950	noise_217941	tp_218671	noise_219664	cue_220382	res_222116
ITI_222844	runS_223526	noise_229548	fp_230507	noise_231504	tp_232349	noise_233340	cue_234317	res_236280
ITI_237044	runS_237712	head_photo_243728	resh_245388	NA	NA	NA	NA	NA
ITI_246192	runS_246999	head_photo_253000	resh_255339	NA	NA	NA	NA	NA
ITI_256163	runS_256730	noise_262748	fp_263639	noise_264640	tp_265313	noise_266306	cue_267192	res_268517
ITI_269086	runS_270070	noise_276085	fp_276969	noise_277963	tp_278553	noise_279544	cue_280202	res_281443
ITI_282001	runS_282509	noise_288520	fp_289043	noise_290042	tpc_290783	noise_291779	cue_292328	res_293882
ITI_294638	runS_295438	noise_301445	fp_301982	noise_302981	tpc_303605	noise_304602	cue_305473	res_306739
ITI_307557	runS_308274	noise_314285	fp_315216	noise_316200	tp_316999	noise_317981	cue_318810	res_320665
ITI_321412	runS_322294	head_photo_328307	resh_330104	NA	NA	NA	NA	NA
ITI_330922	runS_331676	head_photo_337686	resh_339507	NA	NA	NA	NA	NA
ITI_340198	runS_341007	noise_347020	fpc_347828	noise_348822	tpc_349762	noise_350766	cue_351492	res_352820
ITI_353773	runS_354716	noise_360726	fp_361268	noise_362266	tpc_362892	noise_363887	cue_364693	res_366119
ITI_366871	runS_367629	noise_373644	fp_374334	noise_375324	tp_376140	noise_377145	cue_377702	res_380154
ITI_380825	runS_381497	noise_387504	fp_388339	noise_389341	tp_390240	noise_391241	cue_392170	res_393541
ITI_394286	runS_395251	noise_401262	fpc_402110	noise_403108	tpc_403996	noise_404984	cue_405742	res_407474
ITI_408404	runS_409240	head_photo_415242	resh_416861	NA	NA	NA	NA	NA
ITI_417658	runS_418610	noise_424620	fp_425147	noise_426144	tp_426793	noise_427781	cue_428301	res_430191
ITI_430948	runS_431797	noise_437802	fp_438704	noise_439702	tp_440298	noise_441279	cue_442131	res_443749
ITI_444615	runS_445572	noise_451585	fp_452307	noise_453300	tp_454051	noise_455042	cue_456010	res_457349
ITI_457893	runS_458665	head_photo_464662	resh_466330	NA	NA	NA	NA	NA
ITI_466841	runS_467661	noise_473665	fpc_474540	noise_475548	tpc_476504	noise_477502	cue_478456	res_479807
ITI_480411	runS_481173	noise_487184	fp_487782	noise_488783	tp_489292	noise_490280	cue_491059	res_492247
ITI_493158	runS_493865	noise_499884	fpc_500439	noise_501441	tpc_502104	noise_503103	cue_503699	res_504835
ITI_505715	runS_506423	noise_512424	fp_513034	noise_514027	tpc_514824	noise_515825	cue_516682	res_518031
ITI_518760	runS_519588	noise_525605	fpc_526584	noise_527580	tpc_528093	noise_529086	cue_530033	res_531045
ITI_531795	runS_532605	noise_538624	fp_539592	noise_540583	tpc_541264	noise_542260	cue_543009	res_544464
ITI_545234	runS_545908	noise_551920	fp_552808	noise_553799	tp_554658	noise_555639	cue_556472	res_557916
ITI_558444	runS_559144	noise_565140	fp_565763	noise_566766	tp_567383	noise_568382	cue_569374	res_570649
ITI_571204	runS_572061	noise_578066	fp_578676	noise_579663	tpc_580496	noise_581484	cue_582114	res_583534
ITI_584270	runS_585219	noise_591224	fp_592174	noise_593162	tp_593997	noise_594986	cue_595905	res_597205
ITI_597727	runS_598400	noise_604406	fp_605010	noise_606004	tpc_606715	noise_607703	cue_608651	res_609929
ITI_610927	runS_611510	head_photo_617524	resh_618967	NA	NA	NA	NA	NA
ITI_619948	runS_620514	noise_626520	fpc_627450	noise_628445	tpc_629328	noise_630325	cue_631171	res_632570
ITI_633430	runS_634101	noise_640104	fp_640679	noise_641682	tp_642233	noise_643227	cue_643912	res_645591
ITI_646525	runS_647472	noise_653487	fp_654320	noise_655322	tpc_656136	noise_657126	cue_657908	res_659051
