ITI_2	runS_714	noise_6717	fpc_7486	noise_8478	tpc_9144	noise_10129	cue_10923	res_11979
ITI_12582	runS_13538	noise_19551	fp_20448	noise_21429	tpc_21942	noise_22931	cue_23522	res_24534
ITI_25112	runS_25764	head_photo_31777	resh_32807	NA	NA	NA	NA	NA
ITI_33744	runS_34714	noise_40734	fp_41463	noise_42449	tp_43099	noise_44088	cue_44999	res_45729
ITI_46373	runS_47310	noise_53315	fp_54292	noise_55291	tp_55957	noise_56950	cue_57533	res_58168
ITI_58886	runS_59825	noise_65833	fp_66794	noise_67795	tp_68542	noise_69532	cue_70313	res_71269
ITI_71903	runS_72691	noise_78691	fp_79624	noise_80608	tpc_81307	noise_82312	cue_82950	res_83895
ITI_84799	runS_85454	noise_91471	fpc_92458	noise_93452	tpc_94157	noise_95155	cue_95773	res_96353
ITI_97214	runS_97869	noise_103871	fpc_104543	noise_105536	tpc_106074	noise_107066	cue_107848	res_108516
ITI_109046	runS_109948	noise_115954	fp_116631	noise_117631	tp_118372	noise_119376	cue_119935	res_120976
ITI_121744	runS_122699	noise_128715	fp_129670	noise_130674	tp_131640	noise_132631	cue_133532	res_134471
ITI_135253	runS_136070	noise_142070	fpc_142883	noise_143868	tpc_144519	noise_145512	cue_146234	res_146902
ITI_147605	runS_148418	noise_154434	fpc_155161	noise_156147	tpc_156809	noise_157812	cue_158516	res_159295
ITI_159967	runS_160547	noise_166547	fp_167058	noise_168050	tp_168939	noise_169929	cue_170477	res_171405
ITI_172290	runS_172935	noise_178951	fp_179582	noise_180569	tpc_181402	noise_182391	cue_183229	res_184007
ITI_184610	runS_185156	noise_191173	fp_191695	noise_192692	tp_193690	noise_194689	cue_195449	res_196261
ITI_197126	runS_197962	head_photo_203969	resh_205147	NA	NA	NA	NA	NA
ITI_206048	runS_206837	noise_212850	fp_213470	noise_214469	tp_215351	noise_216348	cue_216988	res_217908
ITI_218620	runS_219592	noise_225590	fp_226288	noise_227287	tp_227944	noise_228929	cue_229794	res_230515
ITI_231031	runS_231776	noise_237791	fp_238505	noise_239488	tp_240360	noise_241350	cue_241922	res_242812
