ITI_2	runS_574	noise_6569	fp_7235	noise_8231	tp_9197	noise_10185	cue_10926	res_12047
ITI_12580	runS_13322	noise_19326	fp_20269	noise_21270	tp_22226	noise_23228	cue_23978	res_25011
ITI_25559	runS_26259	noise_32264	fpc_32929	noise_33928	tpc_34530	noise_35529	cue_36113	res_37367
ITI_38116	runS_38699	noise_44704	fp_45709	noise_46710	tpc_47470	noise_48467	cue_49048	res_51650
ITI_52152	runS_53016	head_photo_59032	resh_60597	NA	NA	NA	NA	NA
ITI_61252	runS_61886	noise_67888	fp_68456	noise_69448	tp_70429	noise_71430	cue_72283	res_73523
ITI_74471	runS_75290	noise_81303	fp_82121	noise_83106	tp_83708	noise_84706	cue_85581	res_87332
ITI_87883	runS_88492	noise_94506	fp_95182	noise_96184	tp_96932	noise_97926	cue_98490	res_100461
ITI_101432	runS_102184	head_photo_108190	resh_109326	NA	NA	NA	NA	NA
ITI_110132	runS_110754	noise_116771	fp_117695	noise_118683	tp_119219	noise_120203	cue_120860	res_121971
ITI_122680	runS_123298	noise_129306	fp_130013	noise_131011	tpc_131592	noise_132583	cue_133384	res_134962
ITI_135717	runS_136611	noise_142627	fp_143268	noise_144270	tp_145224	noise_146230	cue_146792	res_153663
ITI_154294	runS_155019	noise_161027	fp_161562	noise_162567	tp_163562	noise_164564	cue_165439	res_166387
ITI_167197	runS_167990	noise_174006	fpc_174535	noise_175532	tpc_176376	noise_177367	cue_178074	res_179008
ITI_179722	runS_180213	noise_186222	fp_186795	noise_187786	tp_188489	noise_189488	cue_190427	res_192476
ITI_193037	runS_193626	noise_199622	fp_200497	noise_201488	tpc_202375	noise_203370	cue_203866	res_207354
ITI_207986	runS_208530	noise_214544	fpc_215503	noise_216506	tpc_217468	noise_218467	cue_219454	res_220959
ITI_221833	runS_222808	head_photo_228828	resh_229759	NA	NA	NA	NA	NA
ITI_230414	runS_230969	noise_236984	fpc_237741	noise_238728	tpc_239452	noise_240444	cue_241347	res_242544
ITI_243222	runS_243948	noise_249963	fp_250950	noise_251950	tp_252566	noise_253565	cue_254362	res_255231
ITI_256179	runS_256961	head_photo_262965	resh_264266	NA	NA	NA	NA	NA
ITI_264969	runS_265620	noise_271626	fp_272442	noise_273448	tpc_273999	noise_274990	cue_275962	res_277023
