ITI_2	runS_959	noise_6953	fpc_7521	noise_8512	tpc_9396	noise_10383	cue_10971	res_12128
ITI_12962	runS_13717	noise_19723	fpc_20596	noise_21590	tpc_22422	noise_23409	cue_24211	res_25067
ITI_25862	runS_26635	noise_32651	fp_33524	noise_34504	tp_35240	noise_36226	cue_36929	res_38112
ITI_38793	runS_39490	noise_45504	fp_46177	noise_47171	tp_47701	noise_48690	cue_49384	res_50232
ITI_50733	runS_51678	noise_57683	fpc_58593	noise_59586	tpc_60364	noise_61365	cue_61915	res_62938
ITI_63591	runS_64492	noise_70504	fp_71433	noise_72427	tp_73369	noise_74365	cue_75248	res_76353
ITI_77173	runS_77717	noise_83731	fpc_84316	noise_85313	tpc_86053	noise_87052	cue_87908	res_89024
ITI_89770	runS_90498	noise_96503	fp_97358	noise_98350	tp_99177	noise_100167	cue_100881	res_103891
ITI_104768	runS_105749	head_photo_111749	resh_113281	NA	NA	NA	NA	NA
ITI_113818	runS_114771	noise_120786	fp_121518	noise_122505	tp_123498	noise_124488	cue_125476	res_127034
ITI_127988	runS_128795	noise_134811	fp_135441	noise_136426	tp_137268	noise_138271	cue_139181	res_144658
ITI_145640	runS_146230	noise_152244	fp_152769	noise_153770	tp_154321	noise_155304	cue_156310	res_157228
ITI_158218	runS_158969	noise_164965	fp_165908	noise_166906	tp_167795	noise_168786	cue_169305	res_170923
ITI_171764	runS_172281	noise_178285	fp_179030	noise_180027	tpc_180834	noise_181826	cue_182401	res_184358
ITI_185077	runS_185867	noise_191863	fp_192484	noise_193491	tp_194420	noise_195404	cue_196141	res_197271
ITI_198187	runS_198900	noise_204904	fp_205715	noise_206710	tp_207703	noise_208707	cue_209505	res_211313
ITI_211880	runS_212468	noise_218470	fp_219196	noise_220187	tpc_220842	noise_221831	cue_222644	res_223621
ITI_224377	runS_224929	noise_230944	fp_231508	noise_232510	tp_233098	noise_234082	cue_234703	res_236001
ITI_236899	runS_237765	noise_243768	fp_244636	noise_245628	tp_246268	noise_247270	cue_248097	res_248979
ITI_249625	runS_250371	noise_256386	fp_257153	noise_258145	tp_258877	noise_259867	cue_260860	res_261686
ITI_262386	runS_263174	head_photo_269187	resh_271520	NA	NA	NA	NA	NA
ITI_272217	runS_272880	noise_278885	fp_279661	noise_280648	tp_281444	noise_282445	cue_282986	res_286729
ITI_287438	runS_288377	noise_294387	fpc_295286	noise_296286	tpc_296917	noise_297904	cue_298595	res_300441
ITI_301274	runS_301993	noise_308010	fpc_308553	noise_309552	tpc_310319	noise_311311	cue_311848	res_312663
ITI_313210	runS_313930	head_photo_319951	resh_321727	NA	NA	NA	NA	NA
ITI_322379	runS_323170	noise_329185	fp_329981	noise_330964	tp_331514	noise_332506	cue_333293	res_334653
ITI_335515	runS_336374	noise_342383	fp_343074	noise_344064	tpc_344881	noise_345868	cue_346826	res_347885
ITI_348393	runS_348898	noise_354907	fp_355472	noise_356464	tpc_357299	noise_358288	cue_359069	res_359817
ITI_360544	runS_361297	noise_367309	fp_368148	noise_369149	tp_369879	noise_370868	cue_371576	res_372483
ITI_373145	runS_373974	noise_379987	fp_380779	noise_381765	tp_382353	noise_383346	cue_383948	res_385597
ITI_386136	runS_387498	noise_393500	fpc_394120	noise_395118	tpc_395631	noise_396621	cue_397456	res_398540
ITI_399489	runS_400463	noise_406484	fp_407269	noise_408261	tpc_409094	noise_410081	cue_411009	res_412852
ITI_413679	runS_414197	noise_420200	fpc_420747	noise_421741	tpc_422300	noise_423302	cue_423884	res_425145
ITI_426054	runS_426856	noise_432857	fp_433588	noise_434583	tp_435211	noise_436197	cue_437138	res_439683
ITI_440291	runS_440991	head_photo_447000	resh_447970	NA	NA	NA	NA	NA
ITI_448573	runS_449278	noise_455277	fp_456253	noise_457241	tp_457935	noise_458936	cue_459537	res_460797
ITI_461365	runS_462036	noise_468043	fp_468628	noise_469619	tp_470174	noise_471155	cue_472130	res_473244
ITI_473971	runS_474934	noise_480939	fp_481503	noise_482503	tpc_483243	noise_484236	cue_485063	res_487608
ITI_488166	runS_488847	noise_494858	fp_495841	noise_496842	tp_497460	noise_498464	cue_499418	res_501147
ITI_501820	runS_502684	head_photo_508700	resh_510886	NA	NA	NA	NA	NA
ITI_511451	runS_512169	head_photo_518184	resh_518837	NA	NA	NA	NA	NA
ITI_519636	runS_520345	noise_526361	fp_526960	noise_527960	tp_528775	noise_529759	cue_530731	res_531639
ITI_532207	runS_533036	noise_539040	fp_539956	noise_540958	tp_541726	noise_542719	cue_543669	res_547433
ITI_548396	runS_549096	head_photo_555100	resh_556183	NA	NA	NA	NA	NA
ITI_556942	runS_557501	noise_563499	fp_564138	noise_565139	tpc_565645	noise_566635	cue_567456	res_568678
ITI_569669	runS_571289	noise_577291	fp_578182	noise_579169	tp_579827	noise_580811	cue_581800	res_582635
ITI_583465	runS_583973	noise_589971	fpc_590548	noise_591553	tpc_592182	noise_593170	cue_593684	res_594678
ITI_595620	runS_596211	noise_602214	fp_602779	noise_603775	tpc_604486	noise_605474	cue_606076	res_607074
ITI_607914	runS_608639	noise_614649	fp_615625	noise_616613	tp_617286	noise_618269	cue_619114	res_620193
ITI_621033	runS_621680	head_photo_627691	resh_630442	NA	NA	NA	NA	NA
ITI_630988	runS_631583	noise_637594	fp_638209	noise_639211	tp_639896	noise_640893	cue_641432	res_643532
ITI_644102	runS_644708	head_photo_650712	resh_652649	NA	NA	NA	NA	NA
ITI_653492	runS_654063	noise_660076	fp_661008	noise_661992	tpc_662662	noise_663657	cue_664457	res_665673
ITI_666182	runS_667112	noise_673116	fp_674051	noise_675050	tp_675759	noise_676752	cue_677332	res_678408
