ITI_2	runS_704	noise_6683	fpc_7486	noise_8475	tpc_9055	noise_10054	cue_10704	res_11954
ITI_12701	runS_13647	noise_19655	fp_20564	noise_21555	tpc_22353	noise_23361	cue_24348	res_25819
ITI_26725	runS_27689	noise_33693	fp_34424	noise_35416	tp_36395	noise_37380	cue_37914	res_39815
ITI_40549	runS_41453	noise_47455	fpc_48365	noise_49355	tpc_50343	noise_51338	cue_51925	res_53322
ITI_54197	runS_54749	head_photo_60760	resh_62978	NA	NA	NA	NA	NA
ITI_63861	runS_64712	noise_70716	fp_71507	noise_72501	tp_73144	noise_74142	cue_74779	res_76016
ITI_77011	runS_77693	noise_83700	fp_84407	noise_85402	tp_86217	noise_87221	cue_88170	res_89917
ITI_90661	runS_91616	noise_97614	fp_98135	noise_99142	tp_99828	noise_100814	cue_101343	res_107850
ITI_108363	runS_109052	noise_115062	fpc_115948	noise_116941	tpc_117475	noise_118481	cue_119200	res_120531
ITI_121131	runS_121693	noise_127702	fp_128688	noise_129676	tpc_130302	noise_131300	cue_132168	res_133370
ITI_134249	runS_134758	noise_140757	fp_141688	noise_142681	tp_143279	noise_144280	cue_145260	res_148063
ITI_148887	runS_149863	noise_155875	fpc_156398	noise_157397	tpc_158307	noise_159302	cue_159808	res_161192
ITI_162127	runS_163094	noise_169095	fp_169955	noise_170957	tp_171693	noise_172699	cue_173609	res_174893
ITI_175540	runS_176068	head_photo_182078	resh_185941	NA	NA	NA	NA	NA
ITI_186651	runS_187177	noise_193178	fp_193925	noise_194914	tpc_195553	noise_196540	cue_197348	res_199424
ITI_200048	runS_200731	noise_206737	fp_207382	noise_208377	tp_209013	noise_210001	cue_210669	res_212030
ITI_212783	runS_213372	noise_219382	fp_219967	noise_220955	tpc_221704	noise_222700	cue_223220	res_224904
ITI_225585	runS_226165	head_photo_232181	resh_234435	NA	NA	NA	NA	NA
ITI_235288	runS_235888	noise_241897	fp_242814	noise_243823	tp_244506	noise_245494	cue_246256	res_247445
ITI_247958	runS_248778	noise_254781	fp_255495	noise_256497	tp_257136	noise_258136	cue_258806	res_259977
ITI_260716	runS_261468	noise_267476	fpc_268431	noise_269416	tpc_270249	noise_271237	cue_272194	res_273888
ITI_274544	runS_275533	noise_281541	fp_282261	noise_283258	tp_283791	noise_284778	cue_285306	res_288517
ITI_289396	runS_289959	noise_295958	fp_296879	noise_297879	tpc_298629	noise_299616	cue_300556	res_302473
ITI_303358	runS_303874	head_photo_309883	resh_312886	NA	NA	NA	NA	NA
ITI_313415	runS_314392	noise_320400	fp_321216	noise_322218	tpc_322882	noise_323882	cue_324737	res_326185
ITI_326779	runS_327571	noise_333574	fpc_334154	noise_335157	tpc_336010	noise_336994	cue_337690	res_338759
ITI_339348	runS_340274	noise_346278	fp_347178	noise_348180	tpc_348757	noise_349761	cue_350298	res_352052
ITI_352683	runS_353604	noise_359622	fp_360335	noise_361337	tp_361962	noise_362956	cue_363754	res_369580
ITI_370164	runS_370889	head_photo_376893	resh_378908	NA	NA	NA	NA	NA
ITI_379675	runS_380300	noise_386323	fp_387284	noise_388277	tp_389246	noise_390241	cue_390958	res_392990
ITI_393663	runS_394374	noise_400380	fp_401080	noise_402082	tp_403007	noise_404000	cue_404817	res_406772
ITI_407732	runS_408421	noise_414437	fp_414995	noise_415999	tp_416776	noise_417776	cue_418340	res_419855
ITI_420685	runS_421357	noise_427357	fpc_427986	noise_428976	tpc_429511	noise_430502	cue_431432	res_432464
ITI_433193	runS_434170	noise_440180	fp_440902	noise_441896	tp_442626	noise_443622	cue_444279	res_448734
ITI_449556	runS_450082	head_photo_456100	resh_458741	NA	NA	NA	NA	NA
ITI_459676	runS_460610	noise_466615	fpc_467140	noise_468134	tpc_469025	noise_470014	cue_470552	res_471717
ITI_472596	runS_473588	head_photo_479602	resh_481898	NA	NA	NA	NA	NA
ITI_482700	runS_483524	noise_489536	fp_490121	noise_491114	tp_492025	noise_493019	cue_493809	res_498469
ITI_499037	runS_499737	noise_505743	fp_506580	noise_507576	tp_508114	noise_509117	cue_510058	res_512092
ITI_512691	runS_513472	noise_519482	fp_520433	noise_521438	tp_522235	noise_523235	cue_524185	res_526610
ITI_527507	runS_528400	noise_534421	fp_535244	noise_536240	tp_536756	noise_537757	cue_538621	res_541644
ITI_542154	runS_542965	head_photo_548980	resh_551308	NA	NA	NA	NA	NA
ITI_552218	runS_552908	noise_558919	fp_559760	noise_560762	tp_561647	noise_562636	cue_563439	res_565371
ITI_566125	runS_566926	noise_572938	fp_573877	noise_574877	tp_575400	noise_576399	cue_577167	res_578686
ITI_579644	runS_580482	noise_586499	fp_587264	noise_588262	tp_588965	noise_589956	cue_590922	res_596959
ITI_597925	runS_598807	noise_604821	fp_605432	noise_606415	tpc_607295	noise_608297	cue_609168	res_610564
ITI_611355	runS_612120	head_photo_618141	resh_619755	NA	NA	NA	NA	NA
ITI_620295	runS_621116	noise_627117	fp_627987	noise_628974	tp_629565	noise_630555	cue_631206	res_632347
ITI_633158	runS_634039	noise_640057	fp_640631	noise_641621	tp_642296	noise_643296	cue_643825	res_645227
ITI_646168	runS_646823	noise_652842	fp_653417	noise_654420	tp_655041	noise_656033	cue_656667	res_658185
ITI_658802	runS_659356	noise_665358	fp_666193	noise_667175	tp_667688	noise_668678	cue_669624	res_670977
ITI_671589	runS_672246	noise_678253	fpc_678906	noise_679898	tpc_680503	noise_681500	cue_682323	res_683701
ITI_684516	runS_685122	noise_691139	fp_691737	noise_692740	tp_693707	noise_694700	cue_695509	res_697090
ITI_697940	runS_698933	noise_704937	fp_705878	noise_706875	tpc_707468	noise_708460	cue_709319	res_710821
