0	2	7949	8003	9994	16009	18008	20006	22012	24006	26011	30625	1
3.136516	30646	33747	34027	36034	42052	52570	NA	NA	NA	NA	NA	1
3.628703	52579	56199	58061	60051	66068	68072	70073	72069	74074	76072	77956	1
3.41043	77958	81356	82069	84068	90087	92094	94088	96094	98091	100091	102135	1
3.707097	102138	105836	106091	108088	114111	116113	118110	120105	122108	124115	126446	1
4.450415	126448	130900	132113	134113	140135	142129	144126	146128	148126	150129	152733	1
4.261511	152735	156994	158128	160130	166150	168150	170148	172147	174151	176148	179929	1
3.304225	179931	183231	184151	186155	192172	194175	196174	198173	200170	202166	208122	1
3.590887	208125	211703	212165	214151	220171	222174	224172	226169	228170	230175	233112	1
4.564773	233115	237671	238177	240172	246186	248296	NA	NA	NA	NA	NA	1
3.006564	248308	251313	252194	254194	260212	262207	264207	266212	268208	270208	271337	1
4.019536	271340	275352	276214	278210	284228	286235	288233	290227	292234	294234	299729	1
4.111142	299731	303841	304237	306230	312252	314247	316254	318249	320253	322247	325086	1
3.24608	325088	328339	330245	332231	338254	340247	342248	344250	346250	348253	349536	1
3.643917	349539	353175	354255	356249	362271	364272	366270	368269	370267	372268	373453	1
4.771602	373456	378223	378273	380268	386286	388290	390288	392289	394288	396287	398858	1
4.338539	398861	403184	404288	406290	412309	414307	416313	418313	420309	422308	423219	1
4.758756	423222	427964	428311	430312	436326	438330	440328	442335	444329	446327	447390	1
4.811655	447392	452201	452324	454315	460328	462332	464332	466328	468329	470335	473052	1
4.722741	473054	477772	478332	480332	486349	489301	NA	NA	NA	NA	NA	1
4.157628	489313	493470	494360	496355	502366	504368	506366	508367	510367	512368	514628	1
4.338057	514631	518969	520370	522368	528390	530389	532389	534393	536393	538393	540419	1
3.840317	540421	544251	544393	546388	552415	554412	556412	558413	560411	562410	565251	1
3.160453	565255	568406	568414	570409	576428	578427	580427	582433	584428	586427	589154	1
4.680844	589157	593830	594428	596434	602455	604456	606446	608448	610448	612450	613398	1
3.278001	613400	616664	618453	620451	626475	628470	630471	632473	634471	636466	638959	1
4.577963	638962	643529	644468	646474	652490	653914	NA	NA	NA	NA	NA	1
4.675906	653924	658587	660502	662488	668514	670507	672514	674508	676511	678509	680557	1
4.735121	680560	685281	686513	688510	694527	696530	698530	700531	702534	704533	707079	1
4.15952	707082	711227	712534	714529	720546	722549	724549	726546	728549	730549	731818	1
4.172042	731821	735983	736550	738549	744567	746572	748568	750570	752575	754572	755604	1
4.611288	755607	760202	760575	762570	768592	770588	772591	774586	776590	778589	782791	1
3.6939	782793	786481	786588	788594	794610	796609	798606	800613	802608	804609	805457	1
4.067499	805461	809520	810614	812608	818632	820629	822627	824627	826629	828627	830376	1
3.478064	830380	833846	834631	836631	842647	844648	846649	848654	850649	852656	853479	1
3.355418	853481	856825	858654	860651	866674	868671	870672	872666	874669	876670	878509	1
3.244131	878512	881753	882672	884674	890691	892692	894686	896692	898689	900690	903682	1
3.875907	903684	907545	908692	910690	916706	918713	920708	922707	924715	926712	931051	1
3.357323	931054	934404	934717	936710	942726	944730	946734	948727	950729	952732	958475	1
3.487125	958478	961953	962732	964730	970747	972748	974746	976750	978755	980748	982674	1
0	4	7960	8001	10007	16028	18029	20027	22028	24026	26022	27373	2
4.351482	27375	31714	32026	34026	40041	42241	NA	NA	NA	NA	NA	2
3.383685	42253	45623	46056	48041	54069	56066	58062	60065	62068	64064	65875	2
4.643991	65878	70510	72068	74064	80088	82079	84080	86088	88079	90083	93278	2
3.366333	93280	96628	98081	100082	106105	107321	NA	NA	NA	NA	NA	2
4.71816	107331	112044	112119	114105	120121	122129	124120	126122	128119	130120	131207	2
3.089518	131210	134288	136125	138123	144140	146149	148143	150148	152139	154145	155368	2
4.129894	155371	159495	160148	162141	168164	170159	172165	174162	176163	178162	179300	2
4.743232	179303	184045	184167	186161	192185	194186	196180	198182	200181	202186	204132	2
3.815999	204135	207941	208188	210188	216208	218209	220206	222206	224200	226207	227041	2
3.118695	227044	230158	230207	232205	238223	240224	242224	244227	246227	248224	249115	2
3.661515	249117	252762	254222	256226	262239	264240	266243	268245	270241	272248	274345	2
3.720459	274347	278066	278246	280245	286266	288264	290265	292268	294260	296267	299707	2
4.128077	299709	303830	304266	306267	312283	314284	316281	318286	320284	322279	323795	2
3.690565	323798	327470	328280	330284	336306	338303	340302	342304	344299	346303	347081	2
4.428249	347084	351511	352302	354307	360331	362329	364320	366319	368322	370325	370902	2
3.457262	370905	374363	376329	378321	384346	386346	388346	390344	392340	394340	395469	2
3.404499	395471	398864	400343	402342	408365	410360	412362	414360	416366	418366	423034	2
3.268285	423037	426288	426370	428361	434381	436387	438384	440387	442383	444380	446832	2
3.783507	446835	450607	452379	454369	460385	462386	464383	466381	468389	470383	473663	2
3.697702	473665	477362	478380	480386	486399	488401	490400	492402	494405	496404	498110	2
4.023876	498113	502130	502407	504409	510426	512419	514419	516419	518424	520420	521337	2
3.206314	521340	524530	526426	528422	534441	536169	NA	NA	NA	NA	NA	2
4.019314	536180	540205	540449	542441	548462	550460	552463	554466	556460	558467	562976	2
4.592729	562979	567552	568470	570464	576479	578483	580484	582481	584486	586483	588641	2
3.862602	588644	592505	594484	596485	602503	604508	606500	608509	610505	612500	613858	2
4.331082	613861	618174	618501	620510	626526	628522	630524	632520	634524	636526	637544	2
3.853002	637548	641394	642531	644523	650540	652494	NA	NA	NA	NA	NA	2
4.148726	652504	656650	658547	660541	666568	668563	670562	672562	674568	676563	678300	2
3.515746	678303	681816	682566	684569	690589	692581	694581	696586	698584	700581	701632	2
3.375865	701635	705000	706580	708582	714608	716606	718599	720602	722601	724603	725930	2
4.402616	725933	730328	730608	732606	738621	740619	742623	744626	746623	748630	753045	2
3.25718	753047	756296	756633	758627	764646	766647	768642	770644	772640	774640	776675	2
3.741657	776678	780401	780642	782644	788660	790662	792664	794666	796659	798666	803124	2
3.663875	803128	806786	808667	810664	816685	818682	820686	822684	824681	826682	830627	2
3.40123	830630	834024	834685	836682	842704	844707	846706	848701	850705	852702	855921	2
3.858332	855924	859780	860705	862706	868724	870726	872722	874724	876722	878727	881038	2
3.562881	881040	884584	884731	886726	892740	894744	896743	898748	900742	902749	905315	2
4.430839	905317	909733	910752	912742	918762	920768	922761	924763	926761	928762	930657	2
4.80664	930659	935448	936766	938763	944787	946785	948783	950780	952786	954787	957659	2
0	4	7946	8004	10005	16024	18027	20025	22027	24030	26030	28598	3
4.918664	28600	33505	34029	36028	42051	44043	46047	48044	50046	52051	52890	3
4.27541	52893	57163	58055	60044	66064	68068	70064	72066	74063	76071	77631	3
3.200395	77634	80822	82070	84068	90086	92089	94082	96089	98087	100085	101850	3
3.604505	101854	105451	106084	108084	114104	116112	118106	120103	122109	124107	127011	3
3.60407	127013	130607	132108	134108	140128	142128	144125	146126	148126	150130	155886	3
4.041236	155890	159923	160135	162130	168152	170150	172145	174148	176146	178145	179019	3
3.237964	179022	182241	184149	186144	192167	194168	196168	198163	200171	202171	203072	3
4.953827	203074	208023	208172	210167	216186	218190	220190	222185	224190	226187	227304	3
3.597418	227307	230902	232190	234189	240210	242209	244207	246204	248209	250206	252180	3
3.808705	252182	255974	256205	258204	264229	266229	268223	270228	272230	274232	275902	3
3.570013	275905	279476	280232	282227	288246	290251	292250	294250	296249	298244	300339	3
4.231673	300342	304560	306244	308247	314270	316265	318269	320262	322266	324263	326882	3
3.274691	326885	330163	330261	332249	338268	339565	NA	NA	NA	NA	NA	3
3.062667	339578	342630	344279	346271	352285	354283	356283	358284	360291	362287	365027	3
4.32896	365030	369359	370290	372288	378312	380302	382306	384311	386306	388306	389784	3
3.682581	389788	393470	394307	396312	402325	404322	406328	408324	410330	412327	415452	3
4.342816	415455	419789	420326	422328	428345	430344	432353	434347	436344	438351	440218	3
3.20932	440221	443412	444350	446352	452370	454369	456363	458368	460367	462371	463941	3
3.339261	463944	467267	468374	470370	476390	478384	480385	482385	484388	486389	487706	3
3.4303	487709	491139	492392	494389	500406	502409	504407	506405	508405	510403	511865	3
4.778756	511868	516648	518403	520411	526427	528428	530428	532428	534423	536425	537329	3
4.045958	537332	541370	542429	544428	550443	552446	554444	556444	558448	560445	561290	3
3.716065	561293	564998	566446	568449	574468	576314	NA	NA	NA	NA	NA	3
3.703007	576326	580031	580478	582464	588488	590488	592483	594485	596485	598487	599337	3
4.647012	599340	603974	604488	606489	612507	614507	616510	618504	620511	622509	624615	3
3.798072	624617	628405	628511	630509	636527	638528	640527	642523	644526	646528	647319	3
3.306301	647322	650614	652529	654524	660549	662546	664550	666546	668549	670543	673043	3
4.575671	673045	677619	678548	680553	686568	688562	690568	692565	694565	696570	697350	3
3.886956	697354	701235	702574	704568	710587	712589	714584	716582	718590	720589	721516	3
3.387598	721519	724895	726592	728588	734604	736605	738611	740608	742606	744610	745985	3
3.507256	745988	749490	750610	752604	758632	760624	762625	764627	766628	768628	769493	3
4.720171	769495	774211	774630	776627	782645	784643	786643	788648	790644	792643	793826	3
3.667363	793828	797490	798641	800628	806648	808643	810648	812644	814643	816646	817347	3
4.110736	817350	821457	822649	824648	830663	832663	834663	836664	838670	840667	843627	3
4.550864	843630	848177	848671	850671	856690	858290	NA	NA	NA	NA	NA	3
4.382936	858302	862667	862700	864685	870708	872705	874707	876704	878707	880703	882324	3
3.063126	882326	885389	886707	888706	894723	896165	NA	NA	NA	NA	NA	3
3.927238	896175	900096	900730	902725	908751	910751	912744	914748	916748	918748	919597	3
4.632111	919599	924219	924747	926744	932769	934771	936770	938764	940764	942765	943741	3
0	4	7952	8002	9990	16013	18010	20013	22015	24008	26015	27765	4
3.244253	27767	30992	32012	34010	40029	42031	44032	46028	48033	50031	51833	4
3.033974	51836	54863	56033	58030	64049	66050	68047	70049	72049	74053	76648	4
3.757168	76651	80411	82055	84052	90067	91974	NA	NA	NA	NA	NA	4
4.613421	91983	96585	98076	100074	106090	107607	NA	NA	NA	NA	NA	4
3.270049	107617	110877	112098	114095	120113	122111	124111	126110	128108	130112	132081	4
4.495293	132084	136561	138113	140108	146129	148135	150133	152132	154128	156127	157335	4
3.458112	157338	160791	162127	164132	170147	172155	174154	176155	178148	180151	184502	4
3.344432	184505	187830	188153	190150	196167	198173	200167	202172	204168	206168	207724	4
3.649547	207726	211359	212169	214175	220187	222186	224193	226191	228189	230188	231689	4
4.665124	231691	236355	238190	240193	246214	248208	250213	252213	254207	256214	258429	4
4.071255	258431	262501	264217	266208	272231	274233	276232	278227	280226	282228	283222	4
4.94616	283224	288159	288225	290214	296230	298231	300233	302228	304229	306227	307210	4
3.258697	307212	310467	312231	314229	320251	321558	NA	NA	NA	NA	NA	4
4.486458	321568	326058	326262	328249	334270	336271	338269	340270	342275	344267	349854	4
3.721607	349857	353572	354272	356269	362294	364294	366286	368294	370288	372294	373144	4
3.091536	373146	376220	376293	378291	384307	386307	388308	390307	392312	394311	395257	4
3.422497	395259	398672	400314	402314	408327	410335	412331	414330	416331	418327	420982	4
4.509964	420985	425484	426325	428310	434330	436335	438328	440330	442329	444327	445384	4
