ITI_3	runS_852	head_photo_6859	resh_7554
ITI_8052	runS_8722	head_photo_14739	resh_15546
ITI_16047	runS_16914	head_photo_22918	resh_23482
ITI_23986	runS_24554	head_photo_30559	resh_31195
ITI_31685	runS_32456	head_photo_38459	resh_39466
ITI_39967	runS_40537	head_photo_46539	resh_47122
ITI_47627	runS_48549	head_photo_54558	resh_55394
ITI_55888	runS_56523	head_photo_62538	resh_66146
ITI_66646	runS_67474	head_photo_73486	resh_74267
ITI_74768	runS_75725	head_photo_81739	resh_82715
ITI_83205	runS_84085	head_photo_90099	resh_90995
ITI_91487	runS_92267	head_photo_98279	resh_99010
ITI_99509	runS_100214	head_photo_106218	resh_106922
ITI_107427	runS_107951	head_photo_113958	resh_114810
ITI_115306	runS_115994	head_photo_121998	resh_122899
ITI_123407	runS_123987	head_photo_129999	resh_130850
ITI_131346	runS_132218	head_photo_138219	resh_139299
ITI_139805	runS_140640	head_photo_146659	resh_147706
ITI_148205	runS_149010	head_photo_155018	resh_156930
ITI_157425	runS_158180	head_photo_164199	resh_165346
ITI_165846	runS_166753	head_photo_172758	resh_173666
ITI_174166	runS_174803	head_photo_180819	resh_182019
ITI_182527	runS_183034	head_photo_189038	resh_189946
ITI_190445	runS_191244	head_photo_197258	resh_197890
ITI_198385	runS_199024	head_photo_205039	resh_205986
ITI_206485	runS_207097	head_photo_213099	resh_214306
ITI_214807	runS_215573	head_photo_221578	resh_222427
ITI_222928	runS_223624	head_photo_229639	resh_230571
ITI_231066	runS_231973	head_photo_237979	resh_238602
ITI_239114	runS_239730	head_photo_245739	resh_246403
ITI_246906	runS_247547	head_photo_253559	resh_255714
ITI_256205	runS_256738	head_photo_262739	resh_263330
ITI_263825	runS_264761	head_photo_270779	resh_271634
ITI_272125	runS_273054	head_photo_279058	resh_279699
ITI_280214	runS_280706	head_photo_286718	resh_287474
ITI_287975	runS_288541	head_photo_294558	resh_296666
ITI_297166	runS_297970	head_photo_303979	resh_304874
ITI_305367	runS_306343	head_photo_312359	resh_313274
ITI_313765	runS_314748	head_photo_320759	resh_321690
ITI_322193	runS_322870	head_photo_328878	resh_329731
ITI_330225	runS_330957	head_photo_336959	resh_337515
ITI_338006	runS_338547	head_photo_344558	resh_345499
ITI_346005	runS_346958	head_photo_352958	resh_354002
ITI_354505	runS_355411	head_photo_361418	resh_362883
ITI_363394	runS_364093	head_photo_370099	resh_370939
ITI_371455	runS_372429	head_photo_378438	resh_379067
ITI_379566	runS_380097	head_photo_386098	resh_386675
ITI_387165	runS_387783	head_photo_393799	resh_394515
ITI_395014	runS_395850	head_photo_401858	resh_402339
ITI_402845	runS_403617	head_photo_409618	resh_411907
ITI_412414	runS_413298	head_photo_419299	resh_419827
ITI_420325	runS_421087	head_photo_427098	resh_427995
ITI_428494	runS_429119	head_photo_435118	resh_435643
ITI_436146	runS_437095	head_photo_443099	resh_443555
ITI_444046	runS_444751	head_photo_450759	resh_451515
ITI_452005	runS_452543	head_photo_458558	resh_459499
ITI_460005	runS_460722	head_photo_466739	resh_467779
ITI_468285	runS_468868	head_photo_474878	resh_475723
ITI_476226	runS_476767	head_photo_482779	resh_483523
ITI_484034	runS_484908	head_photo_490919	resh_491347
ITI_491854	runS_492500	head_photo_498518	resh_499067
ITI_499567	runS_500221	head_photo_506238	resh_506995
ITI_507489	runS_508086	head_photo_514098	resh_514723
ITI_515233	runS_516070	head_photo_522078	resh_522843
ITI_523354	runS_524280	head_photo_530298	resh_533707
ITI_534205	runS_534743	head_photo_540758	resh_542043
ITI_542545	runS_543244	head_photo_549258	resh_549891
ITI_550385	runS_551118	head_photo_557118	resh_557819
