ITI_3	runS_805	head_photo_6816	resh_7612
ITI_8118	runS_8677	head_photo_14696	resh_15348
ITI_15850	runS_16479	head_photo_22495	resh_23500
ITI_24011	runS_24687	head_photo_30696	resh_31860
ITI_32370	runS_32978	head_photo_38995	resh_39612
ITI_40110	runS_40864	head_photo_46875	resh_47524
ITI_48031	runS_48650	head_photo_54655	resh_55236
ITI_55750	runS_56574	head_photo_62575	resh_63372
ITI_63870	runS_64543	head_photo_70555	resh_71252
ITI_71750	runS_72518	head_photo_78535	resh_79020
ITI_79523	runS_80246	head_photo_86255	resh_87668
ITI_88170	runS_89053	head_photo_95055	resh_95580
ITI_96090	runS_96649	head_photo_102655	resh_103116
ITI_103631	runS_104473	head_photo_110475	resh_111348
ITI_111851	runS_112655	head_photo_118655	resh_119621
ITI_120125	runS_121002	head_photo_127017	resh_129284
ITI_129790	runS_130620	head_photo_136635	resh_137668
ITI_138169	runS_138685	head_photo_144695	resh_145532
ITI_146030	runS_146859	head_photo_152875	resh_154084
ITI_154581	runS_155109	head_photo_161115	resh_162172
ITI_162670	runS_163335	head_photo_169335	resh_169813
ITI_170310	runS_170805	head_photo_176815	resh_177836
ITI_178352	runS_179197	head_photo_185215	resh_186156
ITI_186670	runS_187228	head_photo_193235	resh_194076
ITI_194591	runS_195498	head_photo_201515	resh_202548
ITI_203042	runS_203543	head_photo_209555	resh_210012
ITI_210511	runS_211133	head_photo_217135	resh_217844
ITI_218342	runS_218925	head_photo_224936	resh_226100
ITI_226611	runS_227476	head_photo_233475	resh_233957
ITI_234470	runS_235342	head_photo_241355	resh_241908
ITI_242403	runS_242944	head_photo_248956	resh_249421
ITI_249923	runS_250747	head_photo_256755	resh_257125
ITI_257631	runS_258136	head_photo_264155	resh_264548
ITI_265044	runS_265931	head_photo_271935	resh_272428
ITI_272922	runS_273693	head_photo_279695	resh_280124
ITI_280622	runS_281401	head_photo_287416	resh_288396
ITI_288901	runS_289737	head_photo_295755	resh_296333
ITI_296824	runS_297354	head_photo_303355	resh_304301
ITI_304804	runS_305439	head_photo_311455	resh_311885
ITI_312382	runS_313115	head_photo_319116	resh_319764
ITI_320264	runS_321079	head_photo_327096	resh_327525
ITI_328030	runS_328806	head_photo_334816	resh_335588
ITI_336091	runS_337033	head_photo_343036	resh_343973
ITI_344463	runS_345418	head_photo_351435	resh_351900
ITI_352410	runS_353208	head_photo_359215	resh_360172
ITI_360670	runS_361429	head_photo_367435	resh_368285
ITI_368785	runS_369761	head_photo_375775	resh_376468
ITI_376970	runS_377929	head_photo_383935	resh_384813
ITI_385303	runS_385847	head_photo_391855	resh_392461
ITI_392962	runS_393664	head_photo_399676	resh_400668
ITI_401161	runS_401895	head_photo_407895	resh_409172
ITI_409670	runS_410266	head_photo_416275	resh_417005
ITI_417504	runS_418311	head_photo_424315	resh_424902
ITI_425402	runS_426131	head_photo_432135	resh_432741
ITI_433252	runS_433779	head_photo_439795	resh_440477
ITI_440983	runS_441880	head_photo_447895	resh_448509
ITI_449010	runS_449807	head_photo_455815	resh_456645
ITI_457152	runS_457713	head_photo_463715	resh_464533
ITI_465022	runS_465615	head_photo_471615	resh_472269
ITI_472762	runS_473730	head_photo_479736	resh_480549
ITI_481042	runS_481933	head_photo_487936	resh_488813
ITI_489310	runS_489836	head_photo_495835	resh_496717
ITI_497223	runS_497942	head_photo_503955	resh_504788
ITI_505290	runS_505878	head_photo_511895	resh_512621
ITI_513130	runS_513941	head_photo_519955	resh_520389
ITI_520890	runS_521823	head_photo_527835	resh_528549
ITI_529050	runS_529634	head_photo_535635	resh_537205
ITI_537710	runS_538331	head_photo_544335	resh_544813
ITI_545302	runS_545897	head_photo_551915	resh_552877
ITI_553391	runS_554222	head_photo_560235	resh_561061
ITI_561571	runS_562273	head_photo_568276	resh_568901
ITI_569411	runS_570123	head_photo_576135	resh_576669
ITI_577170	runS_578082	head_photo_584096	resh_585125
ITI_585630	runS_586254	head_photo_592255	resh_593005
