ITI_2	runS_473	head_photo_6484	resh_7016
ITI_7516	runS_8352	head_photo_14363	resh_14928
ITI_15430	runS_16021	head_photo_22023	resh_22960
ITI_23450	runS_24402	head_photo_30403	resh_31112
ITI_31610	runS_32562	head_photo_38563	resh_39096
ITI_39590	runS_40144	head_photo_46143	resh_46864
ITI_47370	runS_48040	head_photo_54043	resh_55080
ITI_55570	runS_56220	head_photo_62223	resh_63048
ITI_63550	runS_64387	head_photo_70403	resh_70944
ITI_71451	runS_72430	head_photo_78444	resh_79168
ITI_79671	runS_80505	head_photo_86523	resh_86968
ITI_87478	runS_88450	head_photo_94463	resh_95056
ITI_95558	runS_96396	head_photo_102403	resh_102952
ITI_103450	runS_103951	head_photo_109963	resh_110744
ITI_111251	runS_112130	head_photo_118143	resh_118680
ITI_119170	runS_119849	head_photo_125863	resh_126344
ITI_126850	runS_127388	head_photo_133403	resh_134000
ITI_134491	runS_135431	head_photo_141443	resh_141896
ITI_142390	runS_143196	head_photo_149203	resh_149760
ITI_150250	runS_151069	head_photo_157083	resh_157928
ITI_158430	runS_159107	head_photo_165123	resh_165592
ITI_166090	runS_166954	head_photo_172963	resh_173488
ITI_173990	runS_174533	head_photo_180543	resh_181208
ITI_181710	runS_182501	head_photo_188503	resh_188976
ITI_189470	runS_190426	head_photo_196443	resh_196864
ITI_197371	runS_198289	head_photo_204303	resh_204760
ITI_205250	runS_206058	head_photo_212063	resh_212496
ITI_212990	runS_213709	head_photo_219723	resh_220056
ITI_220550	runS_221423	head_photo_227424	resh_227992
ITI_228490	runS_229101	head_photo_235103	resh_236144
ITI_236650	runS_237413	head_photo_243423	resh_244488
ITI_244991	runS_245909	head_photo_251923	resh_252472
ITI_252970	runS_253944	head_photo_259943	resh_260352
ITI_260851	runS_261506	head_photo_267523	resh_268144
ITI_268650	runS_269506	head_photo_275524	resh_276112
ITI_276618	runS_277421	head_photo_283423	resh_284144
ITI_284651	runS_285272	head_photo_291283	resh_292096
ITI_292590	runS_293496	head_photo_299504	resh_300040
ITI_300530	runS_301388	head_photo_307404	resh_308056
